text,in_train,in_val,in_test,split_membership
"In uno my friends play with the interception rule, where we can stack the same number on each other, 1s can go on other 1s with diff colors, 2 with 2s, and so on, we can stack plus 2s and plus 4s but if someone had a wild card they can cancel the plus 4 out but not the plus two, plus 2s cant be stacked onto wilds tho. Once the wild card cancels out the plus 4, its the next persons turn but if they have a plus 4, they can place it on but it will just start over with the plus 4 and the other plus 2s and plus 4s are canceled.",False,False,True,test
what is this supposed to be? America's finest dish?,False,False,False,none
The day you don’t turn up to school 😂,False,False,False,none
Following this video is somewhat confusing; it's difficult to stay focused in general.,False,False,False,none
This is a man that was found guilty of perjury and he himself said that Trump had nothing to do with paying off Stormy Daniels. Get someone more credibility.,True,False,False,train
He literally punched himself out of energy,True,False,False,train
The Man a boss idc what the crooked media try to paint him to be. Perfect?…nah but definitely not the monster they try to make him,False,False,False,none
"Created function as hinted at the end, works perfectly 🤌 function addDiv(text,color) { let div = document.createElement('div') let addText = document.createTextNode(text) div.style.padding = ""12px"" div.appendChild(addText) div.style.backgroundColor = color document.body.appendChild(div) } addDiv(""usman"",""red"")",False,False,False,none
They might be large and mighty but their environment is far more dangerous.,True,False,False,train
"I admit, my vote for Harris is hastily a protest vote against T, but have learned much about her I've enjoyed.",False,False,False,none
"I think this is the best looking coding video I've ever seen. Coding videos tend to be very dry, but the way you highlight the commands in that little popup window and direct the attention to what you're doing really makes the video feel good to watch. Kudos!",False,False,False,none
She's a war hawk but occasionally preaches about freedom. These days she represents nothing new really. She has turned out to be quite pro establishment.,False,False,False,none
"Biden-Harris administration has to go. Vote them, Congress and Senate Democrats out of office on next elections.",False,False,False,none
Amazing lady!!!we need more people like you in this world 🎉❤,False,False,False,none
Being as iv tried indian snacks its the same lil difference but like base line same,False,True,False,val
No fire prevention protocol here . The Mayor and the Governor need to be indicted for criminal negligence!!,False,True,False,val
uhhhhhhhhhhhhhhhhhhhhhhhhhhhh hahahahahahah,False,False,False,none
"From 2023.9.24 this solution will result in TLE, I am assuming the dummy node initialization and the merging of the two lists is much more inefficient than the priority queue. Any comments?",False,False,False,none
"So, where exactly does the speedrun aspect come into play here?",False,False,True,test
"That's a pretty weak lock for a door that I could easily break by just pushing hard. These doors are those cheap, hollow types.",False,False,False,none
It's not natural disaster. Could've been prevented. Hurricanes are natural disaster.,False,False,False,none
"I dont like coding,I like non technical things but I am in the coding field what to do ,I don't have any backup",False,False,False,none
Haha. I love your videos. The wit is on point and you pretty much talked about all the main things I found interesting from CES as well.,True,False,False,train
"The easier and more cost effective way to solve this is to have a groove on either side of the piston seal to accommodate a Trelleborg C380 wear band. This will centre the piston in the barrel and keep dirt away from the seal. Make sure that the gaps on either side of the seal are maximized for the design pressure of the cylinder. Flush the whole hydraulic system after such type of damage since the chips as a result of scoring can have any shape and size and will distribute themselves throughout the system. They might destroy the pump leading to high costs. I agree to your first conclusion, bad design!",False,True,False,val
"Funny, a senator knew the virus was on it's way and is a scam but trimp didnt know? Unusual.",False,False,False,none
It's completely blank for me; nothing shows up.,False,False,False,none
"Well well well, at first I adored the idea of this series. It truly sounded like a masterpiece until I managed to go further into it. To be very honest this series seems more like a crash course. Everything is so rushed (even the bgm is kinda fast lol). Not saying that it's useless. It's a boon for those who want to brush up on concepts or just are having their shift from another language to C++. As a beginner, it's not that great of a series. I hope that my words get taken as constructive criticism. Love you Apna College!",False,False,False,none
Needs to be a class action suit.,True,False,False,train
"Dang 64k women left the workforce? Did they... Get married? Get pregnant? Women have nore jobless options then men, how many men left the workforce?",True,False,False,train
"""the rules of war is made by the ones who never saw combat"".",True,False,False,train
The parents don't care about anything. There's no remorse.,False,False,False,none
"in the 2nd game,what about the team on the other side",False,False,False,none
"""He achieved his goal but still didn't get a like."" Do you think we are going to like the video? It's not your clip, so don't expect us to give it a thumbs up.",False,False,False,none
mern stack pls,False,False,False,none
Kinsella still a Liberal. Its going to be a tighter race? Doesn't matter who wins the leadership race. The Liberals are done. Maybe you Easterners will get it right this time.,False,False,False,none
"First Jame's bond now Paddington bear, so happy she is enjoying things lately",False,False,False,none
You use Ableton??????? I didn’t know you produced!,False,False,False,none
Great program 🇵🇰👍👏,False,True,False,val
"One of the best tutorial of prototype .... Moreover, the title of tutorial (Magic of Prototype in js) , is completely matching the energy of tutorial .Thank you so much sir.",True,False,False,train
"No ceasefire, no compromise, no forgiveness...",False,False,False,none
"python looks like, but for a java gui like me there are some things I cant get over: no ; : and no { } None vs null",False,False,True,test
Utter b.s. ruperts idiot trumpsucker channel.,False,False,False,none
Na I would never trust something like that with something as dangerous as a Semi truck and I drove a truck Na Hell No,True,False,False,train
...I think you could use a couple more lessons on economics yourself,True,False,False,train
You look great with bart.,True,False,False,train
"Thank you BOTH for Not interrupting S.S., he speaks in a way that most hosts cannot allow his pauses, you did it right and what a great interview!",False,False,False,none
"Почему у них специфический голос (у цыганок)?с закрытыми глазами можно узнать,что разговаривает цынанка?🤔",False,False,False,none
"I believe in humanity and human rights. In short, I have no need for a God.",True,False,False,train
React is one of the technologies I'd planned on learning this year after doing alot of backend work with python and some bootstraping and i think this course is just so much of a good thing that has happen so far to me. Thanks alot FCC and SCRIMBA we really appreciate.,False,False,False,none
This is a very challenging topic 😬😬,True,False,False,train
Name := Sanket shelar Age := 18 Mumbai,False,False,False,none
I went from broke to earning millions when I taught my cat to invest in the stock exchange. My cat is now an in-demand broker and can be contacted on …(half of these stupid spam comments),False,False,False,none
"Oh my goodness this is a result of someone never truly having a job. This moron has milked the government for millions and millions of dollars. He is so pathetically stupid, how could anyone vote for this idiot.",False,False,True,test
"Mexifornia, the late great state of California, is losing their best and brightest young families and their parents, grandparents are following, taking their businesses and wealth with them, Idaho, Arizona, the Carolinas,Tennessee, Texas and Florida, all RED states with better schools🇺🇸🇺🇸",False,False,False,none
Biden lecturing about the abused of power is fucking insane on a whole new level.,False,True,False,val
"Can anyone please tell me, how to code this program on a locally installed version of python. I mean, in neet/leet code, linked lists are predefined. I can't solve this problem on my local pc, without defining a list first.",False,False,False,none
Don't buy the 14 Pro Max; get the 16 with a 60Hz screen and just two cameras 😂,False,False,False,none
"As someone who unfortunately overthinks and has a lot of empathy, even knowing it's safe, I wouldn't be able to bring myself to eat it.",False,False,False,none
"Saying Biden has been a disaster is like, repeat, say the line again.",False,False,True,test
blood sausage????,False,False,False,none
What in the world is this....,False,False,False,none
That women politician was completely clueless what the hell was she talking about Rupert was spot on as usual,False,False,True,test
ахахаха парень тупой и не знает что такое инверсия . есть даже в самом примитивном приложении. Как он вообще ещё догадался что нужно подсветку сделать,False,False,False,none
The empty danimals in the back cup holder is so real,True,False,False,train
Pls do what works for you,True,False,False,train
"thank you for the video. Given that I'm utilizing Angular as my JavaScript library, how might I implement the toggle functionality?",False,False,False,none
Wow is girl new is so so cute💛😍🥰,False,False,False,none
Wow...matt should receive the medal of honor 🎖. Hopefully he writes a book and makes a movie off of the incident. He's so tough,False,False,False,none
"When I had a concussion, my partner handed me the TV remote and asked me to lower the volume down; I gazed at it as if it had come from outer space. He then called an ambulance.",False,False,True,test
"Hello Tim, sorry, but nothing more than the many tutorials on this subject. I would have hoped from you that you would divide the screen for four cameras, that you say after 5 seconds start cam 1, the body is in front of cam 2 so it starts after the first one goes off if it detects a body. I would have wanted you to show how the video can take a photo when you detect the face ... ect but you still the best;)",True,False,False,train
We're looking for a complete digital marketing course,False,False,False,none
If you have make more than 21 trillion dollars a year then you might be close to making to much money. If you are below that I think you are ok.,True,False,False,train
Are we seriously having phone debates in 2025? 😔,False,False,False,none
I have just found NeetCode150 on yesterday!! Thanks so much for you guys to contribute the so nice study resources to help beginners to start Data structures and algorithms!,True,False,False,train
"That lady made German sound lovely. R.I.P to the Queen. Met her once at the local church very small woman, very polite.",False,False,False,none
Need to learn PHP for my next project at work. You are my hope.,False,True,False,val
"switch (age) { case 1: System.out.println(""monday""); break; case 2: System.out.println(""tuesday""); break; case 3: System.out.println(""wednesday""); break; case 4: System.out.println(""thursday""); break; case 5: System.out.println(""friday""); break; case 6: System.out.println(""saturday""); break; case 7: System.out.println(""sunday""); break; default: System.out.println(""Not in this calander""); break;",False,False,False,none
"GOP for Sale, Foreign Money Welcome. Have we had enough America? Remove the Electoral Process, it is unconstitutional. Every VOTE should count during a presidential election. This is not a State issue. #45*, Moscow Mitch and NRA betrayed our country and are Russian Entities funnelling money to the Russian Republicans. Follow the foreign money being invested in America. The TRUTH is There.",True,False,False,train
"Ma'am, please include projects centered around cyber security.",False,False,False,none
I'd watch this channel more if they'd get some more news hosts other than this lady.,False,False,False,none
Why post this without the end? Are you stupid?,False,False,True,test
Being stronger than steel and only 1/3 the weight is actually worse than titanium which is around 45% lighter than steel,True,False,False,train
"sir, you are doing stupendous job. May you live long and doing your work with the same impetus. I am from pakistan and i am very greatfull to you for making these videos free of cost. seriously harry bhai i have no words to say thanks to you. keep doing and shining with your effective vedios,",True,False,False,train
"please guys, where is this appending for the plot answer ????????????????",False,False,False,none
"I realize this is an older comment, but he's been dealing with a mental health condition for many years. He's not doing well.",False,False,False,none
I have a question actually. why you create jwt token and hashed the password in model rather than in controller?,True,False,False,train
Anyone watching this in 2025? 😅 👇,False,False,False,none
Imagine Gavin Newsom being the leader of an entire country. Worst nightmare. Wait... I live that nightmare every day in Canada.,True,False,False,train
Amego jajajaja,False,False,False,none
We want to see the hostages not your media lying mouth take the camera off yourself. $&@!,True,False,False,train
"Could you create a more in-depth tutorial video on developing Android applications using KOTLIN, please?",False,False,False,none
What happens if internet shot down happened all over the world just like Covid lock down,True,False,False,train
"Come on now, I can’t watch this video with the alarm beepin cuz the wife thinks we’re all gonna die!!😅",False,False,False,none
Thankyou thankyou thankyou,True,False,False,train
Ng pasikat lg mga congress ng drama lg galit2 kuno ...,False,False,False,none
This man's outerwear speaks volumes. Refrain from providing him monetary support!,False,False,False,none
Many Thanks,False,False,False,none
We need some way of getting Joy to vacation in Ukraine before her trip to Italy. What about a possible GO FUND ME?,False,True,False,val
1 DETAILS TAG😂😂,False,False,False,none
"You're too focused on Flutter, and you're giving it incorrect wins.",False,False,False,none
How am I now realizing that the P in Swaggy P makes zero sense 😂😂😂😂,True,False,False,train
"Lots of love from Tim ,you're awesome. ❤❤❤❤",False,False,False,none
Bro it says playstation,False,True,False,val
"That was actually nice, but at the end was funnyyyyyyy😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",False,False,False,none
"Kindly inform me if Business Analysts or Project Managers can utilize this Generative AI, and whether it benefits them in their roles. Thank you.",True,False,False,train
"Nah this is legit, if you have iq in 2 digit only then you will be fooled",True,False,False,train
"What in the cinnamon toast F…is this shit?! Go ahead. Just tell us. What part of California, New York, Illinois, or Oregon is this taking place in. It looks like something to fix a blood shortage in a distant future where vampires rule the world😐",False,False,False,none
"You are brave man, President Trump, sitting with the snakes",False,False,True,test
Why not be in the wnba and keep mak8ng that shot. C'mon now,False,False,False,none
I require you to shut your shoes.,True,False,False,train
They all look guilty 😔,True,False,False,train
Definitely looking into this for my next phone!,False,True,False,val
"Aww, thank you for helping this Mom!❤❤",False,False,True,test
"I just watched your responsive portfolio website series and realized ""Oh, looks like I've been doing Sass wrong"" *me, goes to Brad's YouTube to see that he uploaded a course on this 6 days ago*. Awesome!",False,False,False,none
may pananagutan Ang PADEA maari may connection kay Duterte Ang PADEA?,False,False,False,none
Keep this in mind when elections come around!,True,False,False,train
Mast lecture mja aa gya ❤❤❤,False,False,False,none
In my country a person like Trump would not be allowed to be a member of a political party let alone be in a position of authority.,False,False,True,test
"I don't play Rust, I'm here for the chill vibes. This has been one of my favourite videos of yours.",False,False,False,none
"Louisiana shall be so Sad, 7th son of a 7th son. Tampa",True,False,False,train
"On throughout my learning journey of using Rust as my first language :), I will begin my first project after the 11.3 section",True,False,False,train
The U.S would never act militarily against Canada they are probably our closest ally. We❤️ our Canadian neighbors.,False,False,False,none
I love eating the Sushi Rice from LundBerg!! You should try it! My dad used to work there since we lived in a small near there! 😊 Happy New Year to you!,True,False,False,train
"I didn't even know fading smile can be translated to sound... But here we are, listening to YMCA x Clair de Lune",False,False,False,none
"You really shouldn't encourage the use of 'namespace std', especially in tutorials for beginners. Using this namespace is a very common cause of errors and bugs and is easily avoidable.",False,False,False,none
Legends watching 👀in 2023! 🖐,False,False,False,none
you are the best,True,False,False,train
This channel will reach 10 million mark my words,True,False,False,train
Omg😂😂😂😂😂😂😂,True,False,False,train
Stay strong Justice Kavanaugh. True righteous Americans support you!!,False,False,True,test
"We need more immeasurably wise and compassionate humans like you on this planet. Thank you for sharing *Deep web experts on the WEB* . I bet I'm not alone when I say this video found me at the perfect moment, and there are a lot of things here that I needed to hear right now.",False,False,False,none
"import java.util.Scanner; public class test { public static void Main(String[] args) { Scanner scanner = new scanner(System.in); System.out.print(""pls enter your name""); String name = scanner.next(); } } Could someone assist me with this code, please?",False,False,False,none
O iha catholik roma force no have money lifeeee,False,True,False,val
"Its been a long four years. Finally, lets make America great again!",True,False,False,train
"Thank you.. SO MUCH!!!...for THE FACTS!!!, wake-up call, and bravery to disclose to the public what we need to know!",False,False,False,none
That's exactly me and my brother you fight he punched me in the eye yesterday and I kindly put them back that's how we show kindness if someone punches you,False,False,False,none
Why does this look like it was done on PURPOSE! Anyone else feel like this?,False,False,True,test
Anybody here from 2010?,False,False,False,none
i am also using IdeaPad 310.. but it is bit slow maybe because of hdd and no ssd..,False,False,True,test
Wow! The best explanation so far within just few minutes! Thanks!,True,False,False,train
This is super helpful! Ty :),True,False,False,train
WOW EVERYTHING IS JUST WOW THE PERSON THE PEOPLE SUPPORTING THE PLACE THE RAMPS EVERYTHING! THESE PEOPLE ARE SO KIND HEARTED!,False,False,True,test
"I use Fedora, Mint and Debian 11...all are great and easy to use. thanks for offering these courses. ;)",True,False,False,train
You are so amazing James God Bless you and your family and friends and please all your co actors hear this amazing human being.❤❤❤,True,False,False,train
This problem destroyed my confidence.,True,False,False,train
