text,source_label,label
single most useful react video in whole youtubedo you have any idea how long it took me to find all these different pieces of information condensed in this video especially the then partjezus the things tryed to achieve that wish had this months ago,Positive,Positive
think this is someone who programmed that,Neutral,Neutral
html and css are easy but you also taught me python have to say your world class at teaching the speed at which you talk and the depth at which you explain each topic really sets you apart from everyone else,Positive,Positive
nice video very helpful thanks,Positive,Positive
thank you bro loved it its so detailed and wasy to understand,Positive,Positive
what are some practical application of this or it is just to flex how big of nerd you are face with tears of joy,Negative,Negative
sure do love you judge piero literally index pointing at the viewer thumbs up flexed biceps smiling face with sunglasses united states red heart folded hands,Positive,Positive
is anyone experiencing issues with lambda,Neutral,Neutral
anne sullivan such beautiful soul and how she dedicated her life for helen,Positive,Positive
the usa would love to keep india away from china driving wedge between the two countries is in the usas strategic interest henry kissinger succeeded in driving wedge between china and the soviet union,Positive,Positive
didnt do anything except got all my money nefariously have no sympathy for these animals,Negative,Negative
enough for todaysee yll tmorw donethankyou for this course red heart victory hand,Neutral,Neutral
python tutorial javascript in the background on the thumbnail,Neutral,Neutral
when he says didnt even think about that hes so obviously talking about the implication of walking around with machete and half of the comments think he forgot guns exist merica,Neutral,Neutral
rat in heated cage compared to human nah think the octopus version would be worse,Negative,Negative
the fact that the car is in the back lol face with tears of joy face with tears of joy face with tears of joy,Positive,Positive
listen to vids with this music and now its everywhere including fyp skull,Neutral,Neutral
all this product and he still cant pay his tax the scruff,Negative,Negative
lets all be honest here will anyone ever do this,Negative,Negative
didi does the animation and vfx course offer placements or not,Neutral,Neutral
our country love nazis and took care of them even worked wit them face with tears of joy face with tears of joy face with tears of joy face with tears of joy so whats the problem,Negative,Negative
if this is the best of ces dont understand why it exists these gadgets are mostly useless and out of touch from what real people would buy glad most tech channels stopped going and covering it,Negative,Negative
hi like the video and am watching an hour day do have comment at time think your code is not as clear as it could be the first printf should be after line printfvalue of card is dn my card the second printf should be after line printfvalue of card is pn myp the third printf should be after line printfvalue of card is dn my card suggest this because you want to see the value of my card after line and before line the way your code is written it has it just printing the value of my card assigned at line twice also think this would make it clearer for the reader thanks and look forward to finishing the video james,Neutral,Neutral
thats just garbage another fake story,Negative,Negative
dont go out protect yourself be careful pray for all of you buddha bless you respect for your elders and kids,Positive,Positive
tommy robinsons past is irrelevant to whether or not hes right about this scandal,Neutral,Neutral
joe biden is crook got to looking back into this accident he said his wife was killed by drunk driving transfer driver which was lie then when he got to get in question the accident report got removed they was alcohol abuse in his family years back when she was killed his best friends wife jill at the time was carrying on with joe biden the after she died joe married jill connect the dots this man is no saint,Negative,Negative
please create more tutorials about and update the pwa content,Neutral,Neutral
this video is very useful but found same mistakes from updateproduct function you must call one thank you for the video,Neutral,Neutral
very practical every basics are all here,Positive,Positive
correct me if im mistaken but isnt it grammatically incorrect to say that seth meyers is hosting the emmy awards seems like trump cant even get basic grammar right,Neutral,Neutral
this is giving yugioh main character,Positive,Positive
girl you looks like movie star star big up nice clean self and your family blessings and love red heart folded hands,Positive,Positive
maam could you please tell me how to type faster grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat,Neutral,Neutral
works keep up the good work man,Positive,Positive
he is very boring man,Negative,Negative
decisive wins for sen bernie sanders in california and texas will award him more than of the delegates needed to secure the democratic nomination,Positive,Positive
regrettably im no longer able to pass the test cases within the given time constraint,Negative,Negative
hello please let me know which path should follow find vue is loved by many people in the internet but what is the smart path to make native apps using vue because see react native is so much popular in mobile app development what would be good for me,Neutral,Neutral
wow im just up late watching these people learn its so amazing how they learn being deaf and blind you can do anything if you put your mind to it,Positive,Positive
what lying piece of crap trump is,Negative,Negative
how is the minimum product of and shouldnt the maximum and minimum both be,Negative,Negative
prayers for all those people,Positive,Positive
bro its only been handful of times where ill applaud after youtube vid this was gold good lud,Positive,Positive
this should be placed in the middle of the video yawning face,Negative,Negative
its crazy how much we work hard for better future take jobs to build our cv and decide to put living on pause for better future and then realize we havent been living and weve only been doing what we were supposedtold to do when its too late want to break the cycle that everyone around me went through want to live in my opinion the main difference between living and doing what youre supposed to do is the sense of purpose,Positive,Positive
hitesh everybody loves updates samsung speak for yourself,Neutral,Neutral
this song is more like prayer song to us black peopleplease leave black people alone,Positive,Positive
well done guys another perfectly repaired car nothing left to chance,Positive,Positive
probability of having gold is for each after my choice my box has probability and my friend will have probability now he discards one empty box means the one he has having probability so will switch as his box has more chance of having gold means compared to mine,Positive,Positive
in case someone has issue there div vfortodo in todos vbindkeytodo,Neutral,Neutral
my girl taught herself to be my seizure detection girl woke me up countless times in the night when needed was able to get her certified she was my angel had an uncanny sense around people she had an instinct to get up comfort patients when they were in pain even if they had not made noise empath dogs special sensoryloving dogs are true angels red heart paw prints,Positive,Positive
words dont eat just corn kernels got guy mixed bird feed to have everything in it,Neutral,Neutral
honestly the thing that scares me the most is that percent even if that number is true which doubt that people approve of what he has done see why they voted for him they cant admit to doing anything wrong either,Negative,Negative
rip scott dinsmore thank you for the inspiration it is too bad only learned of you after your passing hope your wife and family find peace and good fortune in the future,Positive,Positive
since albert got his first approved we still waiting on bayashi,Neutral,Neutral
creating website can be relatively straightforward but getting it ranked on google is incredibly difficult grimacing face,Negative,Negative
believe the russian president is uneducated person that is why he is invaded his neighbor country ukraine for no reasons at all he is not just being bullied to smaller country he also killed hundreds of civilians childrens and womens for no reasons and lying to his own russian people to me he is not too be trusted,Negative,Negative
it is good for tottenham to win the game against liverpool,Positive,Positive
thank you for this free content passed my exam last week friday first did this course then completed the self paced ms learn learning path and finally the free practice tests probably spent week only on the tests when doing the practice tests ms recommends getting over on multiple attempts set my goal of while doing the practice tests you have to understand why the answer is what it is and not just accept that this is the answer as your understanding of the tools will be tested spent about hours day over weeks before doing the exam hope this help the next person,Positive,Positive
ok but here in australia year mortgage is pw,Neutral,Neutral
dont forget you dont own the home the bank does,Neutral,Neutral
zeenskyy doing all these calls to save face as the leader and become some sort of leader in movie,Negative,Negative
image the bowl of cereal out of that thing grinning face with sweat,Neutral,Neutral
youtube full stack developer me working for asian client,Negative,Negative
have vlog channel this is my vlog channel airport vlog channel name vicky fan vlogs,Neutral,Neutral
unfortunately this will not work because people will steal them everything is up for grabs nowadays,Negative,Negative
bruh he literally touched the ball,Negative,Negative
that is one of the most stupidest things ever seen you think people are going to take the time to pull them on and off all the time get life,Negative,Negative
jackie is so beautiful and love her personality smiling face with hearts,Positive,Positive
the provided starting code links and the finished code links are identical,Negative,Negative
that intro was clean,Positive,Positive
kayleigh you are fantastic warrior folded hands folded hands folded hands,Positive,Positive
what teacher always believe the correct way to teach any subject is to start with the need and history makes everything so easy and interesting as always bohut maza aya,Positive,Positive
can you leave them on grinning face with big eyes,Positive,Positive
get the impression that for coding interviews you lose points for not immediately having solution and instead having to figure it out as you go is that true,Neutral,Neutral
feel bad for all of you having to deal with such disgrace of president who wont except his term is done,Negative,Negative
how does he needs to buy things for it is non sense gish,Neutral,Neutral
help please help ukrainian people dont want leave in russion federation help bag you,Negative,Negative
the most worth video in terms of value for minutes of time red heart red heart red heart,Positive,Positive
when do you plan to make video about vala programming definitely will buy it if you make it great teaching style,Neutral,Neutral
can cop eat to go to the gym and start working out so hes not out of breath just walking or running ten feet,Neutral,Neutral
words former president joe biden racial jungle,Negative,Negative
can put on top of after cards have already been played thats not playing exponentially nor is it even how the game works just pick up the cards idiot,Negative,Negative
steven adams being called random is accurate,Neutral,Neutral
guess we know who started the california fires now,Negative,Negative
please do an episode on dandys world roblox game with cute characters with creepy twisted versions,Neutral,Neutral
its cause he just pulled his legs up,Neutral,Neutral
simply the best was stuck on hello world your method of teaching really elevates the experience of learning love the little reminders you throw in along the way this course will be my go to as progress on my python journey thank you,Positive,Positive
best tech channel every video delivers tons of knowledge thanks for sharing such an awesome tutorial,Positive,Positive
love it how she doesnt use his name adds an extra level when murdering someone in cold blood,Positive,Positive
god bless the young people that condemn putin for starting this war,Positive,Positive
spot on boys chris makes the body work look easy we know its not he is real craftsmanloveyou gesture,Positive,Positive
some of the best movies and games are low budget showcase with ambitious people,Positive,Positive
billion can help rebuild la and make the people who lost everything whole give them social security so that they can hit the ground running and new home we can use undocumented immigrants to help us build houses,Negative,Negative
horrible to watch,Negative,Negative
numbers dont count equipment doesnt count if the ukrainian troops have sheer will courage clear head unity and above all psyche to fight for their motherland what gives russians real upper hand are nukes when nukes enter the game its the end of discussion,Positive,Positive
listen to your content on itunes im working abroad and my internet connection is not good in the middle of the amazon so watching videos is nearly impossible want to join the mug club but would also like to subscribe to rebel media andor the daily wire it would be great if more conservative news outlets could come together under one umbrella one larger payment tons of content,Neutral,Neutral
theres too much lgbtq content usually wouldnt care but cant keep my kids inside forever they have to go out into the world and see the degeneracy,Negative,Negative
thank you man was exactly looking for that,Positive,Positive
anyone watching for viva,Neutral,Neutral
where the short kings at crown,Positive,Positive
ange is man of his word green heart four leaf clover four leaf clover four leaf clover four leaf clover,Positive,Positive
good mustang driver impossible,Negative,Negative
of course case will accidentally eat the watermelon by putting meat in the microwave loudly crying face,Neutral,Neutral
very deceptive caption,Negative,Negative
api interpreting link between different companies community etc,Neutral,Neutral
chrome can also handle streams like that mua believe also you might find it fun to know my city has public cameras accessible through the playlist files they changed it once but ive got them again have access to the ems dispatch log and have tracked ems across town using live feeds all the way to their destinations there is no security period,Negative,Negative
really enjoyed this and it was super helpful thank you,Positive,Positive
change the alternator lol,Neutral,Neutral
his high school teacher was my th grade teacher,Neutral,Neutral
so is it wise to announce this,Neutral,Neutral
the sliding of glass on mud is truly horrible to your teeth,Negative,Negative
get right to the breathing session skip the silly intro,Neutral,Neutral
watching that excited little girl running up to hug winnie the pooh and being denied broke me what are we doing to our innocent children face with steam from nose pleading face confounded face,Negative,Negative
nah bruh true true ngl thats too true cant say it anymore loudly crying face,Positive,Positive
moneywarand greed thats what it boils down too yawning face united kingdom victory hand light skin tone,Negative,Negative
can relate to this remember my nan giving me some socks needed to fake smile cuz dont know how to react and cant smile,Positive,Positive
my neighbor goes this and its annoying as hell,Negative,Negative
this is bold faced lie hes told this story multiple times and its slightly different every single time grinning face with sweat,Negative,Negative
because it proves that we choose who we become and what we make out of life let go of victim mentality and you can succeed,Positive,Positive
ruled based international order it is more like we make the rules as we go and we order you vassals to obey,Negative,Negative
absolutely not addi and nidal are perfect match,Negative,Negative
was horribly abused could not talk about stuff for years until he died and knew we were safe still dont talk details rarely say his name when do stutter and begin to cry my life has been happy for over years does that put things into perspective this woman makes me physically ill,Negative,Negative
very clear thank you,Positive,Positive
lamest shit any man could do face with tears of joy face with tears of joy face with tears of joy face with tears of joy,Negative,Negative
the show is criticizing an extreme form of rampant capitalism but that doesnt mean that its endorsing communism come on ben only sith deals in absolutes,Negative,Negative
that was very good,Positive,Positive
no sir the greatest highlight that never aired was when bo from his knees on the warning track threw to home plate in practice youre welcome victory hand,Negative,Negative
every sentence including bro makes you sound like dildo,Negative,Negative
dont understand why the nk government always lie about what they do its like they even know themselves they are bad but want to impress us with bullshit why,Negative,Negative
how can people lose their mind to this extent russia will not lose because they will resort to tactical nuclear weapons if needed not sure why we are treating russia like non nuclear state,Negative,Negative
defenders have really bad cheap brakes,Negative,Negative
feelings are all encompassing of pain and joy,Neutral,Neutral
the guy in green shirt was strong as fucking bull though,Positive,Positive
mr clarke got noticably excited when talking about that new russian armored vehicle terminator that thing looks like its built on chassis no doubts about its firepower but it would be really interesting to see its active defence systems if its got anything effective against javelin attack,Neutral,Neutral
hours through the course and im loving it love the energy and how beginnerfriendly it is there aint no better source out there to learn about blockchain thank you so much for this course cannot wait to learn more,Positive,Positive
so thats what the bondo is for sitting around the shop at my new motel maintenance job very good,Positive,Positive
its player crying face crying face crying face,Neutral,Neutral
attempted to use the chromedriver on my mac but im getting no such file or directory chromedriver error the file is present in the same directory its name is correct and ive verified using ossystemls that the file is in the running programs folder yet it doesnt work do you have any suggestions,Negative,Negative
dont know how people are liking it there are lot of things in the video that even beginner knows like map spread operator etc if all the content is covered in the hours paid course what is the point of this video thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down thumbs down,Negative,Negative
graphics has only made minor improvements in the last while at this point the system requirements increasing isnt about better graphics or games its about the game devs having to do less of the work to make the game look good and relying on post processing on your end to make everything look better than what it is,Negative,Negative
disagree with this concept reading the plays is their only method to get the play call professional leagues already use helmet speakers,Negative,Negative
its like they read the delibert management book,Neutral,Neutral
the fake pro panic in the end was hilarious,Positive,Positive
thank you mosh very much the way you explain things is very simple and very easy to understand,Positive,Positive
do not have pie option at im using ubuntu,Negative,Negative
unfortunately wouldnt be able to get majority of stuff since im plus sized crying face maybe one day once im down with the weight loss,Negative,Negative
its not the strength its how fast it gets hit backwards and speed was rly fast to it its not hard to hit abouve,Neutral,Neutral
next president stay humble dont learn arrogance and pride from your boss,Neutral,Neutral
this is really devastating pray for the people and your country,Positive,Positive
beautiful servicegathering all the presidents to honor great manrip,Positive,Positive
school teaches me nothing thats why im here,Negative,Negative
when try to create the single job page get an error which implies that do not have json server checked the console and realised the fetch api is requesting data from the website local port instead of the json server port dont get it other than that great tutorial as always traversy,Neutral,Neutral
maybe it was better when sleepy joe was asleep looks like he was startled from his sleep and came up swinging at everything as usual hes hitting nothing,Negative,Negative
as venezuelan who left the country yesterday was waiting for this rebuttal better than expected,Positive,Positive
this video is so amazing intresting and learning thanku so much sir for this video suggest you all to seen this video and learn many thing smiling face with hearts smiling face with hearts smiling face with hearts smiling face with hearts smiling face with hearts revolving hearts revolving hearts revolving hearts revolving hearts smiling face with hearteyessmiling face with hearteyessmiling face with hearteyessmiling face with hearteyes,Positive,Positive
wood helps the diesel get to the vapor point not flash point the flame gets it to flash point,Neutral,Neutral
its shame that the and skyline will never be produced again,Negative,Negative
lots of love sir,Positive,Positive
dont ask the us and europenato for help us and europe nato is the source of the problems on this earth they are bloodthirsty leaders and are not afraid of sin they are the ones who created wars in palestine and the arab region,Negative,Negative
sometimes you had to fend for yourself cause nobody wont help you cause theyre just as scared as you but sometimes its up to you to overcome that fear thats near you,Positive,Positive
after long time nice to be back and continuing this series with you,Positive,Positive
as tall handsome funny smart man think it is fine to be short,Positive,Positive
send him and his buddy straight to hell,Negative,Negative
am pretty fast phone typer but with many mistakes on laptop im about as fast but much more accurate,Neutral,Neutral
such textbook example of an egotripping loser cop thinks hes superior to everyone else and cant admit when hes in the wrong very embarrassing and childish actions,Negative,Negative
the best tutorials ever keep doing it,Positive,Positive
wrecked buddy to me that is just little dent also how in the world are we supposed to like his video like beggar,Negative,Negative
this is what you do after you realise your never going to be taller than your sibling,Neutral,Neutral
was really amazed by this gifted boy have granddaughter with the same condition and at tender age of she seems to love playin with musical instruments and loves music very much,Positive,Positive
absolutely great content thanks lot for making this video looking forward for an udemy course on it,Positive,Positive
you all arent listening he didnt save any fish those idiots were already dead they floated to the surface because they were already dead they didnt have any oxygen face with tears of joy face with tears of joy face with tears of joy face with tears of joy youre all fools,Negative,Negative
its astounding how people can think the elites are corrupt and evil but vote for one and never once realize hes an elitist donald trump has never worked day in his life when it comes to self entitled elitist rich guys trump is number,Negative,Negative
thank you for the great tutorial have question though why did you do different approach in your domain provider when you were hosting your website on github vs the hosting provider,Neutral,Neutral
thank you folded hands sweden,Positive,Positive
thank you for this video mosh have my own llc that am taking to the next level with data analytics visualization dashboard development and automated reporting believe that ai and machine learning path is for me followed by web dev just signed up for your courses and am looking forward to learning everything need and more,Positive,Positive
had similar issue to what you had during my first job my senior told me to ask questions if were stuck during coding but when do times would be shamed and scolded at that time did not know about working life so thought it was normal to be scolded at absolutely believed have made the worst choice to be programmer only thing that kept me going was huge rental price and people losing job during pandemic,Negative,Negative
thats so sweet an so adorable beaming face with smiling eyes partying face beaming face with smiling eyes partying face smiling face with hearts two hearts smiling face with hearts two hearts smiling face with hearts,Positive,Positive
except we dont valve all corners the same,Neutral,Neutral
theres literal video that it happened she needs to be held accountable for her actions,Negative,Negative
lol white sneakers absolutely never face with tears of joy face with tears of joy face with tears of joy roadmen go for all black attire,Negative,Negative
shes lied lied lied and those reporters are praising her up what joke,Negative,Negative
only seven where are the other four,Negative,Negative
yes pastor crissy smiling face with smiling eyes preach those words into existence every living person at some time or another will go through some kind of turbulence in their lives but isnt it great to know we have the almighty to lean on in times like these red heart red heart red heart red heart,Positive,Positive
he has not resigned he has given his intention to resign when the party finds new mafia boss,Neutral,Neutral
is this one good for starting as the first time learning for competitive programming,Neutral,Neutral
every time fu mm and mm grinning face with sweat face with tears of joy face with tears of joy,Positive,Positive
the reason they dont use this processing method is because it requires too much energy compared to wood making it inefficient,Negative,Negative
theres just something about the way ai videos are formatted and how they feel that makes them obvious,Negative,Negative
all of our lifetimes all of our lives are too unique to copy the path from someone else,Positive,Positive
all can sense in that mcdonalds is hogwarts vibes,Neutral,Neutral
dude didnt have to come oit the house with that thing hanging out the box like that face with open mouth face with open mouth face with open mouth,Neutral,Neutral
good to see ukraine making moves to secure the south being cut off from the sea would be way more devastating than losing donbass,Positive,Positive
thank you for the shereinge call with amazan and account opening tutoreal here be waiting more videos of product hunting product listing how to chat with product owner what kind of stander skill need to product hunt every thing plz with live demo practically same this vide becouse we are learner and bigenars for this fild we hope this is one of the best channel all over youtube who can provide free of cost everithing of amazon thank you watching from nepal loving from nepal,Positive,Positive
new version of dora the explorer grinning face with sweat,Neutral,Neutral
celine the fact flew to spain for video is crazy face with tears of joy red heart,Positive,Positive
so thats why my order is deley,Negative,Negative
as real madrid fan this is amazing and felt in my heart,Positive,Positive
thats poor advice youll simply accrue more interest,Negative,Negative
the response should be am extremely resourceful and can get things done anywhere you wont find anyone more clever or resourceful than me,Negative,Negative
thank you didi very much to teach us coding want to learn coding for my upcoming future it will help me lot for building apps and ethical hacking smiling face with smiling eyes,Positive,Positive
that short hair looks soo cool red heart red heart red heart red heart like mother like daughter you should really need that hair love it,Positive,Positive
orange chocolateflavored cookie sounds awful,Negative,Negative
great course in the deletetodo method you neglected to update the filter with resdata which caused it to fail,Negative,Negative
english is not even this guys first language yet he can still teach better than my high school comp sci teacher thank you for the tutorials,Positive,Positive
just one questionwhy though,Negative,Negative
this dude is one of the most talented people but also really dangerous,Neutral,Neutral
the bye it way to extra than the whole conversation rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,Positive,Positive
that was actually quite refreshing to watch no drama lots of good manners proper adulting well done to both and to the moderators,Positive,Positive
its ok im gonna pee on the russian flag,Negative,Negative
umm absolutely not,Negative,Negative
you are very welcome,Neutral,Neutral
where is the back end keys,Negative,Negative
somethings off about her bottoms,Negative,Negative
the things learned was amazing how to inculcate jokes into your notes make things fun when you study brain loves funny things as it stores those info in form of stories test your skills with active recall method and other simple testing things in order to challenge your mind and your skills and polish it,Positive,Positive
got this memoaization approach by my own but this bottom up is fantastic you are genious,Positive,Positive
shouldnt topological sort be implemented using bfs rather than dfs possibly minor oversight,Negative,Negative
please keep doing what youre doing bro folded hands light skin tone,Positive,Positive
