text,silver_label,silver_confidence,silver_probs,source_label,agreement
Can i use this with Vue.js?,Neutral,0.7183,"{""Negative"": 0.0212, ""Neutral"": 0.7183, ""Positive"": 0.2605}",Neutral,yes
How can she take the broach back and then lie about it like that....LMFAO,Negative,0.7844,"{""Negative"": 0.7844, ""Neutral"": 0.0624, ""Positive"": 0.1532}",Negative,yes
Thank you mam. Really best video,Positive,0.9921,"{""Negative"": 0.0028, ""Neutral"": 0.0051, ""Positive"": 0.9921}",Positive,yes
"He started off so smug, Julia slapped that right off his face.",Negative,0.5863,"{""Negative"": 0.5863, ""Neutral"": 0.3559, ""Positive"": 0.0578}",Positive,no
Bros took “uptown downtown” too literally.,Neutral,0.5947,"{""Negative"": 0.1078, ""Neutral"": 0.5947, ""Positive"": 0.2975}",Neutral,yes
This is too difficult D: I kindaaaa understood the stuff up to 2.5 and now this :<,Negative,0.6587,"{""Negative"": 0.6587, ""Neutral"": 0.0728, ""Positive"": 0.2685}",Negative,yes
Yes❤❤❤❤😊😊😊,Positive,0.7978,"{""Negative"": 0.0673, ""Neutral"": 0.1348, ""Positive"": 0.7978}",Positive,yes
"Yeah, I mean. It's funny here, but no one's that stupid.And this isn't real",Negative,0.6866,"{""Negative"": 0.6866, ""Neutral"": 0.0432, ""Positive"": 0.2702}",Negative,yes
"Fun Fact: As a passionate Football ⚽️ enthusiast, I recall that in 2010, after their team's defeat, North Korean television didn't broadcast the loss. Instead, they fabricated stories of other teams losing by scores of 7-0 and 11-0, falsely claiming that Portugal won the World Cup. Therefore, according to North Korean media, Portugal emerged victorious in the World Cup that year.",Negative,0.7169,"{""Negative"": 0.7169, ""Neutral"": 0.2558, ""Positive"": 0.0273}",Negative,yes
I'm a fan of the British accent.,Neutral,0.7681,"{""Negative"": 0.1479, ""Neutral"": 0.7681, ""Positive"": 0.084}",Neutral,yes
You sound somewhat like Daily dose of internet.,Neutral,0.7702,"{""Negative"": 0.157, ""Neutral"": 0.7702, ""Positive"": 0.0729}",Neutral,yes
Really wanted this video and you have maded it . Thank you ♥️,Positive,0.8488,"{""Negative"": 0.1108, ""Neutral"": 0.0404, ""Positive"": 0.8488}",Positive,yes
But datatype toh int tha aur printf mein string toh error ana chaiye na,Negative,0.6197,"{""Negative"": 0.6197, ""Neutral"": 0.2393, ""Positive"": 0.141}",Negative,yes
Would love to see more of this,Positive,0.8119,"{""Negative"": 0.0268, ""Neutral"": 0.1613, ""Positive"": 0.8119}",Positive,yes
It’s destructive. Single life is better than the feeling of being unwanted and neglected.,Positive,0.4165,"{""Negative"": 0.3953, ""Neutral"": 0.1881, ""Positive"": 0.4165}",Negative,no
She is a youtuber❤,Neutral,0.3768,"{""Negative"": 0.3365, ""Neutral"": 0.3768, ""Positive"": 0.2866}",Neutral,yes
"Hi mosh, Can you please tell me the theme name, Thank you",Neutral,0.9787,"{""Negative"": 0.0124, ""Neutral"": 0.9787, ""Positive"": 0.0089}",Neutral,yes
"I am so very proud of these two brave and strong women who are very articulate and eloquent in their message. They have the true American spirit, and we need to give people like these our full support whether you are Hispanic or Latin or not. I am neither, but I love brave people like these women who stand up for the right things in life and are proud of their country. They want to stop bad things happening to our country and make it a great place to live and raise their children. They know how the policies of the Democrats can hurt our country because they have either run away from countries that had those policies or have parents and grandparents who did. I wish them the best and look forward to them being members in our congress very soon.",Positive,0.9735,"{""Negative"": 0.0201, ""Neutral"": 0.0064, ""Positive"": 0.9735}",Positive,yes
"Thank you for the video, really well done. Although, I must say for Retool, I think it would be better to the admin panel by yourself. You will learn a lot by doing so. If someone is trying to build a web app with Django, it's impossible that they aren't programmers.",Positive,0.6375,"{""Negative"": 0.2506, ""Neutral"": 0.1119, ""Positive"": 0.6375}",Negative,no
"regarding the initial run, the result is: 90.46 second run : 90 third run : 90",Neutral,0.4772,"{""Negative"": 0.4734, ""Neutral"": 0.4772, ""Positive"": 0.0494}",Neutral,yes
Oa kayo sa Kasing laki ni Lolong,Negative,0.7223,"{""Negative"": 0.7223, ""Neutral"": 0.1774, ""Positive"": 0.1003}",Negative,yes
Guy uses duct tape and blames product…,Negative,0.4942,"{""Negative"": 0.4942, ""Neutral"": 0.4234, ""Positive"": 0.0824}",Negative,yes
AS a fireman I can tell you what happened to those poor souls. With an explosion like that which I liken to a nuclear bomb or a volcanic eruption they would have been vaporized. Happily if you can call it that they never saw it coming and never knew it hit. May they rest in peace and may their families rest in knowing they were doing what they loved to do,Negative,0.3798,"{""Negative"": 0.3798, ""Neutral"": 0.2789, ""Positive"": 0.3413}",Positive,no
He is also very handsome 🤍,Positive,0.6690,"{""Negative"": 0.0388, ""Neutral"": 0.2922, ""Positive"": 0.669}",Positive,yes
"nice topic chosen wisely 👌🏻, I actually understood you about 70 percent but something is better than nothing.",Positive,0.5892,"{""Negative"": 0.1556, ""Neutral"": 0.2553, ""Positive"": 0.5892}",Positive,yes
Kid watched *'Taxi Driver'* 1 too many times 😂,Neutral,0.5577,"{""Negative"": 0.2465, ""Neutral"": 0.5577, ""Positive"": 0.1958}",Neutral,yes
I am from 2025,Neutral,0.7677,"{""Negative"": 0.049, ""Neutral"": 0.7677, ""Positive"": 0.1834}",Neutral,yes
"As we know Trump tells a lot of lies, his knowledge of thus war us limited! Trumps mouth moves without any facts, just what sounds good to him! Trump is a Putin supporter, friend making Trump bias for Putin, or should I say Putin is one if Trumps heroes, once Trump is in full power as President you will see Trump throw his full support behind Putin!😢",Positive,0.5700,"{""Negative"": 0.3648, ""Neutral"": 0.0652, ""Positive"": 0.57}",Negative,no
Good video 🎉🎉 Thank you.,Positive,0.9693,"{""Negative"": 0.0019, ""Neutral"": 0.0288, ""Positive"": 0.9693}",Positive,yes
You way smarter than other mean looking lady. Thank you! Fox News! God Bless USA! Slava Ukraini!,Positive,0.9698,"{""Negative"": 0.0044, ""Neutral"": 0.0258, ""Positive"": 0.9698}",Positive,yes
Ok this is useful.,Positive,0.4376,"{""Negative"": 0.3755, ""Neutral"": 0.1869, ""Positive"": 0.4376}",Positive,yes
I love the look on Kat's face anytime Greg calls on her. 😆,Positive,0.7817,"{""Negative"": 0.0208, ""Neutral"": 0.1975, ""Positive"": 0.7817}",Neutral,no
I wish waffles were the subject after Black Lives Matter protests,Neutral,0.5473,"{""Negative"": 0.1535, ""Neutral"": 0.5473, ""Positive"": 0.2992}",Neutral,yes
Depends on the temp and amount of vapors whether it lights or not.,Neutral,0.9390,"{""Negative"": 0.0136, ""Neutral"": 0.939, ""Positive"": 0.0474}",Neutral,yes
"The man prepared a top-tier, exquisite dish 💫😐😎💔😍💫😎😍😭🥺🥵👍😭😍😅😈😏😎🧢😡😋😡🤸😐💫😁🤮🥶😋🥲l",Positive,0.8464,"{""Negative"": 0.0528, ""Neutral"": 0.1008, ""Positive"": 0.8464}",Neutral,no
"Putting tariffs on Canadian goods, puts America second, not first.",Negative,0.4717,"{""Negative"": 0.4717, ""Neutral"": 0.2343, ""Positive"": 0.2939}",Negative,yes
Captain knuckles fr crazy shit,Neutral,0.5971,"{""Negative"": 0.285, ""Neutral"": 0.5971, ""Positive"": 0.1179}",Neutral,yes
"We need real bikers, not some rich, spoiled kid.",Negative,0.8498,"{""Negative"": 0.8498, ""Neutral"": 0.0181, ""Positive"": 0.1321}",Negative,yes
"They are standing there filming, they should have run and removed those people, why are you so stupid?",Negative,0.9422,"{""Negative"": 0.9422, ""Neutral"": 0.0298, ""Positive"": 0.028}",Negative,yes
"Mosh this is what i intuitively came up for removeLast method public void removeLast(){ if (isEmpty()){ throw new IllegalStateException(""cannot remove item from empty list""); } if (first==last){ first=last=null; return; } var i=first; while (i.next!=last){ i=i.next; } i.next=null; last=i; } Any reason why my code might not be optimal?",Negative,0.4424,"{""Negative"": 0.4424, ""Neutral"": 0.2358, ""Positive"": 0.3218}",Neutral,no
"i am a skinner, who's probably gonna skin again",Neutral,0.7895,"{""Negative"": 0.1359, ""Neutral"": 0.7895, ""Positive"": 0.0746}",Neutral,yes
"""AIGHT BET""",Neutral,0.6022,"{""Negative"": 0.3089, ""Neutral"": 0.6022, ""Positive"": 0.0889}",Neutral,yes
Finally I wrote my first React app. Thanks sir. Good tutorial and explanation.,Positive,0.9821,"{""Negative"": 0.0085, ""Neutral"": 0.0094, ""Positive"": 0.9821}",Positive,yes
I can’t believe they put the power button on the front 😂,Neutral,0.7109,"{""Negative"": 0.0967, ""Neutral"": 0.7109, ""Positive"": 0.1925}",Neutral,yes
"Never in my wildest dreams as a kid did I imagine I would live to see ninjas being accepted in America. But now... I can truly become... the great white American ninja, with the assistance of my brother Gobei and my best friend Curtis Jackson.",Neutral,0.5946,"{""Negative"": 0.0984, ""Neutral"": 0.5946, ""Positive"": 0.3069}",Neutral,yes
She even seems happy it's over,Negative,0.4650,"{""Negative"": 0.465, ""Neutral"": 0.2536, ""Positive"": 0.2815}",Positive,no
Speed really messed up he just embarrassed his self in front of Korean girls,Negative,0.8242,"{""Negative"": 0.8242, ""Neutral"": 0.1281, ""Positive"": 0.0478}",Negative,yes
*Don’t expect relationships to make you happy.* Make yourself happy!,Positive,0.6146,"{""Negative"": 0.1343, ""Neutral"": 0.2511, ""Positive"": 0.6146}",Positive,yes
"why can we do this? @classmethod def merge_k_sorted_list(cls, list_of_sorted_list): if not list_of_sorted_list: return while len(list_of_sorted_list) > 1: list_of_sorted_list.append(cls.merge_sorted_list(list_of_sorted_list.pop(), list_of_sorted_list.pop())) return list_of_sorted_list[0]",Neutral,0.7127,"{""Negative"": 0.1231, ""Neutral"": 0.7127, ""Positive"": 0.1642}",Neutral,yes
Llore viendo este video 🤧 gracias por existir MrBeast,Neutral,0.4970,"{""Negative"": 0.2405, ""Neutral"": 0.497, ""Positive"": 0.2625}",Positive,no
That's what I would do and that's what my mom would have said,Positive,0.4457,"{""Negative"": 0.1339, ""Neutral"": 0.4203, ""Positive"": 0.4457}",Positive,yes
"Freedom of choice. As long as there is risk, there should be a choice. My body - my choice. Dr. Malone's speech in DC was awesome. globalcovidsummit",Positive,0.6311,"{""Negative"": 0.0216, ""Neutral"": 0.3473, ""Positive"": 0.6311}",Positive,yes
"Judge, those are the feelings of the majority of Americans... thanks for letting out for us, God bless you 🙏",Positive,0.6983,"{""Negative"": 0.1681, ""Neutral"": 0.1336, ""Positive"": 0.6983}",Positive,yes
Meadow was always hot asl,Positive,0.7971,"{""Negative"": 0.0759, ""Neutral"": 0.127, ""Positive"": 0.7971}",Positive,yes
With the hair growth- Rogaine and Red Light… are they a lifelong sentence? Or once your hair starts growing you are good to go without them.,Positive,0.5012,"{""Negative"": 0.0391, ""Neutral"": 0.4598, ""Positive"": 0.5012}",Neutral,no
maa kasam mood sahi ho jata hai aapki javascript ki series padh ke🙏,Positive,0.5027,"{""Negative"": 0.1117, ""Neutral"": 0.3855, ""Positive"": 0.5027}",Positive,yes
No he won’t bro hell be in jail jo and wishing he didn’t do this shit,Negative,0.7895,"{""Negative"": 0.7895, ""Neutral"": 0.0236, ""Positive"": 0.1869}",Negative,yes
didi pls make a video on college freshers what to learn as side hustle and where do we get resources in detail,Neutral,0.9482,"{""Negative"": 0.0265, ""Neutral"": 0.9482, ""Positive"": 0.0253}",Neutral,yes
That dad wasn’t laughing he was crying,Neutral,0.5451,"{""Negative"": 0.2353, ""Neutral"": 0.5451, ""Positive"": 0.2196}",Neutral,yes
"What the heck?! Why did you move like that?! You got beat by Karen, dude, that's way worse!",Negative,0.9554,"{""Negative"": 0.9554, ""Neutral"": 0.0302, ""Positive"": 0.0143}",Negative,yes
"Thanks for the new course. However, one topic is still missing: video streaming. Could you please create another course on how to manage, sell, and authenticate video content on the web? I'm looking forward to it...",Neutral,0.8163,"{""Negative"": 0.1318, ""Neutral"": 0.8163, ""Positive"": 0.0519}",Neutral,yes
Bro that sound of your window scratch my Brain,Neutral,0.4778,"{""Negative"": 0.304, ""Neutral"": 0.4778, ""Positive"": 0.2182}",Negative,no
Great job.. Please Start complete video series on node KS as back-end technology..,Neutral,0.6325,"{""Negative"": 0.0626, ""Neutral"": 0.6325, ""Positive"": 0.3049}",Neutral,yes
"You made a blindman see. Thanks, a 10^6 times!",Positive,0.9031,"{""Negative"": 0.0409, ""Neutral"": 0.0559, ""Positive"": 0.9031}",Positive,yes
Sir you are good Man ❤❤ love you ❤❤❤,Positive,0.9480,"{""Negative"": 0.0057, ""Neutral"": 0.0463, ""Positive"": 0.948}",Positive,yes
Like a super Sunday game how do the teams match up against each other 🙄 absolute madness,Neutral,0.6028,"{""Negative"": 0.2648, ""Neutral"": 0.6028, ""Positive"": 0.1324}",Neutral,yes
"Giving poison before death, She filtering reality.",Negative,0.7363,"{""Negative"": 0.7363, ""Neutral"": 0.2138, ""Positive"": 0.0498}",Negative,yes
"Really like,like.",Positive,0.7422,"{""Negative"": 0.1232, ""Neutral"": 0.1346, ""Positive"": 0.7422}",Positive,yes
My brain:what is it saying? Also brain: BRAIN NEEDLE,Neutral,0.9229,"{""Negative"": 0.0498, ""Neutral"": 0.9229, ""Positive"": 0.0273}",Neutral,yes
I’m sad people on the media make jokes about this when there are family’s hiding in there basements right now because of stupid leaders,Negative,0.8055,"{""Negative"": 0.8055, ""Neutral"": 0.1443, ""Positive"": 0.0502}",Negative,yes
Sir you explain perfectly.Now I have decided to code on notebook.,Positive,0.7176,"{""Negative"": 0.179, ""Neutral"": 0.1034, ""Positive"": 0.7176}",Positive,yes
"Loving this new format queen❤ especially with the new influx of people that will be coming to yt when tt closes, they love story times!! & this was amazing girlie, keep it up❤💃",Positive,0.9018,"{""Negative"": 0.0314, ""Neutral"": 0.0668, ""Positive"": 0.9018}",Positive,yes
You are idiots. They are a young country with young people. 70% of that country is Russian. Maybe talk about the 5 million that left the country once Zelensky was voted in. Fkn US wankers.,Negative,0.7997,"{""Negative"": 0.7997, ""Neutral"": 0.0575, ""Positive"": 0.1428}",Negative,yes
sHeS dOiNg tHe AOC. *flaps arms* IM DEAD. IMA DO THE AOC WHEN QUARANTINE IS OVER,Neutral,0.5313,"{""Negative"": 0.1559, ""Neutral"": 0.5313, ""Positive"": 0.3127}",Positive,no
I don't like that Xbox is copying them PlayStation commies,Negative,0.7862,"{""Negative"": 0.7862, ""Neutral"": 0.0465, ""Positive"": 0.1673}",Negative,yes
"We can not have this traitor in the white house for another 3 ,yrs",Negative,0.6268,"{""Negative"": 0.6268, ""Neutral"": 0.0424, ""Positive"": 0.3309}",Negative,yes
The moment I heard about Gina Carano being cancelled I hoped that Crowder would offer her a job and cheered when it happened!,Neutral,0.3641,"{""Negative"": 0.3536, ""Neutral"": 0.3641, ""Positive"": 0.2822}",Positive,no
I'm keen on learning more about a ServiceNow Crashcourse,Neutral,0.6696,"{""Negative"": 0.1238, ""Neutral"": 0.6696, ""Positive"": 0.2066}",Neutral,yes
Man this is some revelations type thing. Prayers to residents of California,Neutral,0.5741,"{""Negative"": 0.1985, ""Neutral"": 0.5741, ""Positive"": 0.2273}",Positive,no
"Free healthcare for all of california, doubling the population of canada with people who've never paid a dime of tax to the cdn government would bankrupt our country. About 90% of cdn taxes go to healthcare, so, that's nonsense.",Negative,0.6287,"{""Negative"": 0.6287, ""Neutral"": 0.1595, ""Positive"": 0.2118}",Negative,yes
They laughed 50 years ago when we couldn't fish in our own waters🤔🤔,Positive,0.5438,"{""Negative"": 0.1769, ""Neutral"": 0.2793, ""Positive"": 0.5438}",Negative,no
"17:38 const {x,y,w,h} = this.boundary",Positive,0.4310,"{""Negative"": 0.4071, ""Neutral"": 0.1619, ""Positive"": 0.431}",Neutral,no
Anyone in 2025 ?,Neutral,0.6298,"{""Negative"": 0.3538, ""Neutral"": 0.6298, ""Positive"": 0.0164}",Neutral,yes
"who writes characters like that? nobody would be this fucking rude to anyone, especially a kid.",Negative,0.8385,"{""Negative"": 0.8385, ""Neutral"": 0.1011, ""Positive"": 0.0604}",Negative,yes
"Brad please i really like all your works, could you make a course for PostgreSQL",Neutral,0.5301,"{""Negative"": 0.0322, ""Neutral"": 0.5301, ""Positive"": 0.4377}",Neutral,yes
"for 100k, these games won't run at 60 fps on ultra settings",Negative,0.4606,"{""Negative"": 0.4606, ""Neutral"": 0.2889, ""Positive"": 0.2505}",Negative,yes
Thank you so much for the great tutorial! Your explanations were very clear and easy to follow. Please create more videos with practical examples in React.js.,Positive,0.9116,"{""Negative"": 0.0028, ""Neutral"": 0.0856, ""Positive"": 0.9116}",Positive,yes
This ban on our freedom should be tested in a court of law.,Negative,0.7707,"{""Negative"": 0.7707, ""Neutral"": 0.1054, ""Positive"": 0.1238}",Positive,no
"Мужик на мерсе все правильно сделал. После с каждого велосипедиста сдерёт штраф + моральный ущерб, а возможно нескольких закроет в тюрьме за пункт ""по Предварительному сговору""",Neutral,0.6180,"{""Negative"": 0.2459, ""Neutral"": 0.618, ""Positive"": 0.1361}",Positive,no
"Sir, I am unable to configure VS Code on my PC... Should I consider using Webstorm instead???",Negative,0.8446,"{""Negative"": 0.8446, ""Neutral"": 0.1473, ""Positive"": 0.0081}",Negative,yes
"Everyone is around you when your partner dies, but then they go back to life and want you to be ok. Life goes on as it should. Your left not knowing what or how to feel and the fear is unexpected. I was relieved to hear you say this! When I feel sick, I am scared it’s something serious and no one will go to urgent care with me 2 years later I’m ready to talk about Greg because it doesn’t hurt so much, but I can tell it makes others uncomfortable. I’m scared I will forget him, and I can’t remember the details of his face and the sound of his voice. Meanwhile, I work, take care of myself, my house, my animals and I am a friend to others. It’s not that I am stuck. People don’t get it.",Positive,0.5502,"{""Negative"": 0.3112, ""Neutral"": 0.1387, ""Positive"": 0.5502}",Positive,yes
You are cyco time for the rubber room wow you and hunter must be buddys,Negative,0.4512,"{""Negative"": 0.4512, ""Neutral"": 0.3243, ""Positive"": 0.2245}",Negative,yes
How on Earth would this make code-sharing easier? The mixins for the options API seemed pretty darned convenient...,Negative,0.4617,"{""Negative"": 0.4617, ""Neutral"": 0.3332, ""Positive"": 0.2051}",Negative,yes
"""The couple unknowingly breathed in the gas."" 😂😂😂",Neutral,0.5670,"{""Negative"": 0.3105, ""Neutral"": 0.567, ""Positive"": 0.1225}",Negative,no
Look at the Mayors race in Chicago~,Negative,0.6618,"{""Negative"": 0.6618, ""Neutral"": 0.2625, ""Positive"": 0.0757}",Neutral,no
These animals are so gorgeous...,Positive,0.7849,"{""Negative"": 0.0522, ""Neutral"": 0.1629, ""Positive"": 0.7849}",Positive,yes
2025 has started off crazy. Our thoughts and prayers are for ALL of the people suffering from these fires.,Negative,0.4947,"{""Negative"": 0.4947, ""Neutral"": 0.1269, ""Positive"": 0.3784}",Positive,no
"Horizon won't be successful if they make it like Forbidden West. They went overboard with the gender neutrality. The women are either equally as strong or stronger than the male warriors. It might work in a video game, but it will look ridiculous in live action. You'll see a 6'5"" 250lb guy getting beaten not by Aloy, but by some 5'3"" 100lb random tribal female. This will make people laugh and ruin the immersion.",Negative,0.7492,"{""Negative"": 0.7492, ""Neutral"": 0.0643, ""Positive"": 0.1865}",Negative,yes
6:44 7th reason why luis hates noobs is because he’s *cool*,Negative,0.4204,"{""Negative"": 0.4204, ""Neutral"": 0.2241, ""Positive"": 0.3555}",Positive,no
resigning onana yeah right 😂😂😂😂,Negative,0.9165,"{""Negative"": 0.9165, ""Neutral"": 0.0716, ""Positive"": 0.0119}",Negative,yes
Instead of just talking the so called powerful NATO why can't they take action on Russia,Negative,0.4910,"{""Negative"": 0.491, ""Neutral"": 0.4737, ""Positive"": 0.0353}",Negative,yes
"American workers HAVE no rights. No paid 28 days leave, No paid unlimited sick leave AND NO PAID PARENTAL LEAVE FOR 3 MONTHS WHICH INCLUDES THE HUSBAND",Negative,0.8565,"{""Negative"": 0.8565, ""Neutral"": 0.1055, ""Positive"": 0.038}",Negative,yes
U dead.....,Negative,0.6384,"{""Negative"": 0.6384, ""Neutral"": 0.3217, ""Positive"": 0.0399}",Negative,yes
"Thanks but i am little confused about what will be the 3 rd parameter that browser takes in app.use((req,res,next) [i mean next parameter ]",Neutral,0.6490,"{""Negative"": 0.2991, ""Neutral"": 0.649, ""Positive"": 0.052}",Neutral,yes
It's a beaver probably,Neutral,0.5846,"{""Negative"": 0.2514, ""Neutral"": 0.5846, ""Positive"": 0.164}",Neutral,yes
A great and simple explanation of var vs. let. Thank you Mosh.,Positive,0.9570,"{""Negative"": 0.0091, ""Neutral"": 0.0338, ""Positive"": 0.957}",Positive,yes
"Recently I’d been interviewed at google, after 2.5 months of preparation and interviews, I’ve been told position is frozen. I was crushed, I cracked every single interview and but in the end it didn’t work out. It was hard to come back to daily routine knowing that you had it for a day then you lost everything. I’ve learned lot from your videos, and I always find them very relatable. Even hiring freeze. I’ll try again and hope this time I’ll make it. Thank you for everything.",Positive,0.8051,"{""Negative"": 0.0621, ""Neutral"": 0.1329, ""Positive"": 0.8051}",Positive,yes
"It's quite annoying that when I invoke a function, it doesn't automatically fill in the parentheses.",Negative,0.6064,"{""Negative"": 0.6064, ""Neutral"": 0.3204, ""Positive"": 0.0732}",Negative,yes
I passed this exam over the weekend! This was a fantastic course and I thank you for the help!,Positive,0.9494,"{""Negative"": 0.0116, ""Neutral"": 0.0389, ""Positive"": 0.9494}",Positive,yes
Sir I am from Bangladesh. I have already completed Photoshop course. Salute sir,Neutral,0.7578,"{""Negative"": 0.05, ""Neutral"": 0.7578, ""Positive"": 0.1922}",Positive,no
ashten was SO falling for lexi,Negative,0.4962,"{""Negative"": 0.4962, ""Neutral"": 0.3718, ""Positive"": 0.132}",Neutral,no
Are they brothers?,Neutral,0.7207,"{""Negative"": 0.2512, ""Neutral"": 0.7207, ""Positive"": 0.0281}",Neutral,yes
That would be a big NOT GONNA HAPPEN !,Negative,0.5723,"{""Negative"": 0.5723, ""Neutral"": 0.3396, ""Positive"": 0.0881}",Neutral,no
"""i'm a villain, not a monster"" Nelson.",Neutral,0.5169,"{""Negative"": 0.3781, ""Neutral"": 0.5169, ""Positive"": 0.105}",Neutral,yes
Elon got the money and the fame. What he didn't get til Rogan exalted him was a pseudo 'cool kid' status. And he clearly longed for that,Negative,0.5401,"{""Negative"": 0.5401, ""Neutral"": 0.1522, ""Positive"": 0.3077}",Positive,no
"The reason why Elon Musk buys Twitter is because the stock market is now very overvalued and close to crash in a couple of months due to hike rates, debt, and the crisis generated by China, Ukraine, Russia. Not only does the stock market can crash, the dollar and bitcoin can crash as well. So, Elon sells part of his shares of Tesla and others (now overvalued), buys Twitter (excuse for not saying that the stock market is going to crash), privatizes Twitter, to avoid the Twitter stock price to crash, and in this way Elon protects its wealth. Then a few years later when the market stabilizes again, Twitter goes again public, and Elon recovers his wealth. Master play, Twitter is just a good excuse to make cash with his investments without making a lot of noise.",Negative,0.5506,"{""Negative"": 0.5506, ""Neutral"": 0.37, ""Positive"": 0.0794}",Negative,yes
Please stop doing these things already,Negative,0.8261,"{""Negative"": 0.8261, ""Neutral"": 0.0823, ""Positive"": 0.0916}",Negative,yes
they missed their chance to call the module QtPy,Negative,0.5801,"{""Negative"": 0.5801, ""Neutral"": 0.388, ""Positive"": 0.0319}",Neutral,no
"Hey Shaun, thanks a bunch for the series! It's really boosting my understanding. What exactly sets Hive apart from Firebase? Also, is it possible to use Firebase as a local database?",Neutral,0.8645,"{""Negative"": 0.0519, ""Neutral"": 0.8645, ""Positive"": 0.0835}",Neutral,yes
TEAM 50-60 ✌️ 🇯🇲,Neutral,0.4464,"{""Negative"": 0.1997, ""Neutral"": 0.4464, ""Positive"": 0.3539}",Neutral,yes
Zach is a child .. someone who doesn’t get their way and throws a tantrum pretty much . Everyone wants to be a victim 😪,Negative,0.5965,"{""Negative"": 0.5965, ""Neutral"": 0.0448, ""Positive"": 0.3587}",Negative,yes
i’ve had to double my smoke intake since this disastrous election,Negative,0.4849,"{""Negative"": 0.4849, ""Neutral"": 0.453, ""Positive"": 0.062}",Negative,yes
I have been waiting for this missing piece!!! You are so passionate in delivery!!! Thanks a million MAX!!! ONE LOVE JAH RASTER!!!,Positive,0.9573,"{""Negative"": 0.0111, ""Neutral"": 0.0316, ""Positive"": 0.9573}",Positive,yes
The Russians cannot make drones because they cannot make the various items making up a drone. Everything was imported from the West.,Negative,0.6905,"{""Negative"": 0.6905, ""Neutral"": 0.0746, ""Positive"": 0.2348}",Positive,no
"Really nice!! For someone who has to start from basics, this is going to be a great help!!",Positive,0.7733,"{""Negative"": 0.1637, ""Neutral"": 0.063, ""Positive"": 0.7733}",Positive,yes
Interest on java becomes loving java and getting a job as a java developer only happens when I watch your tutorials these will actually fascinated and I agree I'm an alien 😅😅,Positive,0.7555,"{""Negative"": 0.1254, ""Neutral"": 0.1191, ""Positive"": 0.7555}",Positive,yes
Thanks for the message at the end. You actually made me feel better.,Positive,0.8190,"{""Negative"": 0.1173, ""Neutral"": 0.0636, ""Positive"": 0.819}",Positive,yes
