text,label_annotator_1,label_annotator_2,gold_label,is_disputed
"Giving poison before death, She filtering reality.",Negative,Negative,Negative,no
"Really like,like.",Positive,Positive,Positive,no
My brain:what is it saying? Also brain: BRAIN NEEDLE,Neutral,Neutral,Neutral,no
I’m sad people on the media make jokes about this when there are family’s hiding in there basements right now because of stupid leaders,Negative,Negative,Negative,no
Sir you explain perfectly.Now I have decided to code on notebook.,Positive,Positive,Positive,no
"Loving this new format queen❤ especially with the new influx of people that will be coming to yt when tt closes, they love story times!! & this was amazing girlie, keep it up❤💃",Positive,Positive,Positive,no
You are idiots. They are a young country with young people. 70% of that country is Russian. Maybe talk about the 5 million that left the country once Zelensky was voted in. Fkn US wankers.,Negative,Negative,Negative,no
sHeS dOiNg tHe AOC. *flaps arms* IM DEAD. IMA DO THE AOC WHEN QUARANTINE IS OVER,Negative,Negative,Negative,no
I don't like that Xbox is copying them PlayStation commies,Negative,Negative,Negative,no
"We can not have this traitor in the white house for another 3 ,yrs",Negative,Negative,Negative,no
The moment I heard about Gina Carano being cancelled I hoped that Crowder would offer her a job and cheered when it happened!,Neutral,Positive,,yes
I'm keen on learning more about a ServiceNow Crashcourse,Positive,Positive,Positive,no
Man this is some revelations type thing. Prayers to residents of California,Neutral,Neutral,Neutral,no
"Free healthcare for all of california, doubling the population of canada with people who've never paid a dime of tax to the cdn government would bankrupt our country. About 90% of cdn taxes go to healthcare, so, that's nonsense.",Negative,Negative,Negative,no
They laughed 50 years ago when we couldn't fish in our own waters🤔🤔,Neutral,Neutral,Neutral,no
"17:38 const {x,y,w,h} = this.boundary",Neutral,Neutral,Neutral,no
Anyone in 2025 ?,Neutral,Neutral,Neutral,no
"who writes characters like that? nobody would be this fucking rude to anyone, especially a kid.",Negative,Negative,Negative,no
"Brad please i really like all your works, could you make a course for PostgreSQL",Positive,Positive,Positive,no
"for 100k, these games won't run at 60 fps on ultra settings",Negative,Negative,Negative,no
Thank you so much for the great tutorial! Your explanations were very clear and easy to follow. Please create more videos with practical examples in React.js.,Positive,Positive,Positive,no
This ban on our freedom should be tested in a court of law.,Negative,Negative,Negative,no
"Мужик на мерсе все правильно сделал. После с каждого велосипедиста сдерёт штраф + моральный ущерб, а возможно нескольких закроет в тюрьме за пункт ""по Предварительному сговору""",Neutral,Neutral,Neutral,no
"Sir, I am unable to configure VS Code on my PC... Should I consider using Webstorm instead???",Neutral,Neutral,Neutral,no
"Everyone is around you when your partner dies, but then they go back to life and want you to be ok. Life goes on as it should. Your left not knowing what or how to feel and the fear is unexpected. I was relieved to hear you say this! When I feel sick, I am scared it’s something serious and no one will go to urgent care with me 2 years later I’m ready to talk about Greg because it doesn’t hurt so much, but I can tell it makes others uncomfortable. I’m scared I will forget him, and I can’t remember the details of his face and the sound of his voice. Meanwhile, I work, take care of myself, my house, my animals and I am a friend to others. It’s not that I am stuck. People don’t get it.",Positive,Positive,Positive,no
You are cyco time for the rubber room wow you and hunter must be buddys,Negative,Negative,Negative,no
How on Earth would this make code-sharing easier? The mixins for the options API seemed pretty darned convenient...,Negative,Negative,Negative,no
"""The couple unknowingly breathed in the gas."" 😂😂😂",Neutral,Neutral,Neutral,no
Look at the Mayors race in Chicago~,Neutral,Neutral,Neutral,no
These animals are so gorgeous...,Positive,Positive,Positive,no
2025 has started off crazy. Our thoughts and prayers are for ALL of the people suffering from these fires.,Neutral,Neutral,Neutral,no
"Horizon won't be successful if they make it like Forbidden West. They went overboard with the gender neutrality. The women are either equally as strong or stronger than the male warriors. It might work in a video game, but it will look ridiculous in live action. You'll see a 6'5"" 250lb guy getting beaten not by Aloy, but by some 5'3"" 100lb random tribal female. This will make people laugh and ruin the immersion.",Negative,Negative,Negative,no
6:44 7th reason why luis hates noobs is because he’s *cool*,Neutral,Neutral,Neutral,no
resigning onana yeah right 😂😂😂😂,Neutral,Neutral,Neutral,no
Instead of just talking the so called powerful NATO why can't they take action on Russia,Negative,Negative,Negative,no
"American workers HAVE no rights. No paid 28 days leave, No paid unlimited sick leave AND NO PAID PARENTAL LEAVE FOR 3 MONTHS WHICH INCLUDES THE HUSBAND",Negative,Negative,Negative,no
U dead.....,Negative,Negative,Negative,no
"Thanks but i am little confused about what will be the 3 rd parameter that browser takes in app.use((req,res,next) [i mean next parameter ]",Neutral,Neutral,Neutral,no
It's a beaver probably,Neutral,Neutral,Neutral,no
A great and simple explanation of var vs. let. Thank you Mosh.,Positive,Positive,Positive,no
"Recently I’d been interviewed at google, after 2.5 months of preparation and interviews, I’ve been told position is frozen. I was crushed, I cracked every single interview and but in the end it didn’t work out. It was hard to come back to daily routine knowing that you had it for a day then you lost everything. I’ve learned lot from your videos, and I always find them very relatable. Even hiring freeze. I’ll try again and hope this time I’ll make it. Thank you for everything.",Positive,Positive,Positive,no
"It's quite annoying that when I invoke a function, it doesn't automatically fill in the parentheses.",Negative,Negative,Negative,no
I passed this exam over the weekend! This was a fantastic course and I thank you for the help!,Positive,Positive,Positive,no
Sir I am from Bangladesh. I have already completed Photoshop course. Salute sir,Positive,Positive,Positive,no
ashten was SO falling for lexi,Positive,Positive,Positive,no
Are they brothers?,Neutral,Neutral,Neutral,no
That would be a big NOT GONNA HAPPEN !,Negative,Negative,Negative,no
"""i'm a villain, not a monster"" Nelson.",Neutral,Neutral,Neutral,no
Elon got the money and the fame. What he didn't get til Rogan exalted him was a pseudo 'cool kid' status. And he clearly longed for that,Neutral,Neutral,Neutral,no
"The reason why Elon Musk buys Twitter is because the stock market is now very overvalued and close to crash in a couple of months due to hike rates, debt, and the crisis generated by China, Ukraine, Russia. Not only does the stock market can crash, the dollar and bitcoin can crash as well. So, Elon sells part of his shares of Tesla and others (now overvalued), buys Twitter (excuse for not saying that the stock market is going to crash), privatizes Twitter, to avoid the Twitter stock price to crash, and in this way Elon protects its wealth. Then a few years later when the market stabilizes again, Twitter goes again public, and Elon recovers his wealth. Master play, Twitter is just a good excuse to make cash with his investments without making a lot of noise.",Neutral,Neutral,Neutral,no
Please stop doing these things already,Negative,Negative,Negative,no
they missed their chance to call the module QtPy,Neutral,Neutral,Neutral,no
"Hey Shaun, thanks a bunch for the series! It's really boosting my understanding. What exactly sets Hive apart from Firebase? Also, is it possible to use Firebase as a local database?",Positive,Positive,Positive,no
TEAM 50-60 ✌️ 🇯🇲,Neutral,Neutral,Neutral,no
Zach is a child .. someone who doesn’t get their way and throws a tantrum pretty much . Everyone wants to be a victim 😪,Negative,Negative,Negative,no
i’ve had to double my smoke intake since this disastrous election,Negative,Negative,Negative,no
I have been waiting for this missing piece!!! You are so passionate in delivery!!! Thanks a million MAX!!! ONE LOVE JAH RASTER!!!,Positive,Positive,Positive,no
The Russians cannot make drones because they cannot make the various items making up a drone. Everything was imported from the West.,Neutral,Neutral,Neutral,no
"Really nice!! For someone who has to start from basics, this is going to be a great help!!",Positive,Positive,Positive,no
Interest on java becomes loving java and getting a job as a java developer only happens when I watch your tutorials these will actually fascinated and I agree I'm an alien 😅😅,Positive,Positive,Positive,no
Thanks for the message at the end. You actually made me feel better.,Positive,Positive,Positive,no
Bet it will take till day 22/23,Neutral,Neutral,Neutral,no
Aspirin....at least take aspirin..to stay alive.,Neutral,Neutral,Neutral,no
Has anyone taken notes?,Neutral,Neutral,Neutral,no
God bless the ranchers who haven't forgotten their past 😢😢,Positive,Positive,Positive,no
"In uno my friends play with the interception rule, where we can stack the same number on each other, 1s can go on other 1s with diff colors, 2 with 2s, and so on, we can stack plus 2s and plus 4s but if someone had a wild card they can cancel the plus 4 out but not the plus two, plus 2s cant be stacked onto wilds tho. Once the wild card cancels out the plus 4, its the next persons turn but if they have a plus 4, they can place it on but it will just start over with the plus 4 and the other plus 2s and plus 4s are canceled.",Neutral,Neutral,Neutral,no
what is this supposed to be? America's finest dish?,Negative,Negative,Negative,no
The day you don’t turn up to school 😂,Neutral,Neutral,Neutral,no
Following this video is somewhat confusing; it's difficult to stay focused in general.,Negative,Negative,Negative,no
This is a man that was found guilty of perjury and he himself said that Trump had nothing to do with paying off Stormy Daniels. Get someone more credibility.,Negative,Negative,Negative,no
He literally punched himself out of energy,Neutral,Neutral,Neutral,no
The Man a boss idc what the crooked media try to paint him to be. Perfect?…nah but definitely not the monster they try to make him,Neutral,Neutral,Neutral,no
"Created function as hinted at the end, works perfectly 🤌 function addDiv(text,color) { let div = document.createElement('div') let addText = document.createTextNode(text) div.style.padding = ""12px"" div.appendChild(addText) div.style.backgroundColor = color document.body.appendChild(div) } addDiv(""usman"",""red"")",Positive,Positive,Positive,no
They might be large and mighty but their environment is far more dangerous.,Neutral,Neutral,Neutral,no
"I admit, my vote for Harris is hastily a protest vote against T, but have learned much about her I've enjoyed.",Neutral,Neutral,Neutral,no
"I think this is the best looking coding video I've ever seen. Coding videos tend to be very dry, but the way you highlight the commands in that little popup window and direct the attention to what you're doing really makes the video feel good to watch. Kudos!",Positive,Positive,Positive,no
She's a war hawk but occasionally preaches about freedom. These days she represents nothing new really. She has turned out to be quite pro establishment.,Negative,Negative,Negative,no
"Biden-Harris administration has to go. Vote them, Congress and Senate Democrats out of office on next elections.",Negative,Negative,Negative,no
Amazing lady!!!we need more people like you in this world 🎉❤,Positive,Positive,Positive,no
Being as iv tried indian snacks its the same lil difference but like base line same,Neutral,Neutral,Neutral,no
No fire prevention protocol here . The Mayor and the Governor need to be indicted for criminal negligence!!,Negative,Negative,Negative,no
uhhhhhhhhhhhhhhhhhhhhhhhhhhhh hahahahahahah,Neutral,Neutral,Neutral,no
"From 2023.9.24 this solution will result in TLE, I am assuming the dummy node initialization and the merging of the two lists is much more inefficient than the priority queue. Any comments?",Neutral,Neutral,Neutral,no
"So, where exactly does the speedrun aspect come into play here?",Neutral,Neutral,Neutral,no
"That's a pretty weak lock for a door that I could easily break by just pushing hard. These doors are those cheap, hollow types.",Negative,Negative,Negative,no
It's not natural disaster. Could've been prevented. Hurricanes are natural disaster.,Neutral,Neutral,Neutral,no
"I dont like coding,I like non technical things but I am in the coding field what to do ,I don't have any backup",Negative,Negative,Negative,no
Haha. I love your videos. The wit is on point and you pretty much talked about all the main things I found interesting from CES as well.,Positive,Positive,Positive,no
"The easier and more cost effective way to solve this is to have a groove on either side of the piston seal to accommodate a Trelleborg C380 wear band. This will centre the piston in the barrel and keep dirt away from the seal. Make sure that the gaps on either side of the seal are maximized for the design pressure of the cylinder. Flush the whole hydraulic system after such type of damage since the chips as a result of scoring can have any shape and size and will distribute themselves throughout the system. They might destroy the pump leading to high costs. I agree to your first conclusion, bad design!",Neutral,Neutral,Neutral,no
"Funny, a senator knew the virus was on it's way and is a scam but trimp didnt know? Unusual.",Negative,Negative,Negative,no
It's completely blank for me; nothing shows up.,Negative,Negative,Negative,no
"Well well well, at first I adored the idea of this series. It truly sounded like a masterpiece until I managed to go further into it. To be very honest this series seems more like a crash course. Everything is so rushed (even the bgm is kinda fast lol). Not saying that it's useless. It's a boon for those who want to brush up on concepts or just are having their shift from another language to C++. As a beginner, it's not that great of a series. I hope that my words get taken as constructive criticism. Love you Apna College!",Neutral,Neutral,Neutral,no
Needs to be a class action suit.,Negative,Negative,Negative,no
"Dang 64k women left the workforce? Did they... Get married? Get pregnant? Women have nore jobless options then men, how many men left the workforce?",Neutral,Neutral,Neutral,no
"""the rules of war is made by the ones who never saw combat"".",Neutral,Neutral,Neutral,no
The parents don't care about anything. There's no remorse.,Negative,Negative,Negative,no
"in the 2nd game,what about the team on the other side",Neutral,Neutral,Neutral,no
"""He achieved his goal but still didn't get a like."" Do you think we are going to like the video? It's not your clip, so don't expect us to give it a thumbs up.",Negative,Negative,Negative,no
mern stack pls,Neutral,Neutral,Neutral,no
Kinsella still a Liberal. Its going to be a tighter race? Doesn't matter who wins the leadership race. The Liberals are done. Maybe you Easterners will get it right this time.,Negative,Negative,Negative,no
"First Jame's bond now Paddington bear, so happy she is enjoying things lately",Positive,Positive,Positive,no
You use Ableton??????? I didn’t know you produced!,Positive,Positive,Positive,no
Great program 🇵🇰👍👏,Positive,Positive,Positive,no
"One of the best tutorial of prototype .... Moreover, the title of tutorial (Magic of Prototype in js) , is completely matching the energy of tutorial .Thank you so much sir.",Positive,Positive,Positive,no
"No ceasefire, no compromise, no forgiveness...",Negative,Negative,Negative,no
"python looks like, but for a java gui like me there are some things I cant get over: no ; : and no { } None vs null",Neutral,Neutral,Neutral,no
Utter b.s. ruperts idiot trumpsucker channel.,Negative,Negative,Negative,no
Na I would never trust something like that with something as dangerous as a Semi truck and I drove a truck Na Hell No,Negative,Negative,Negative,no
...I think you could use a couple more lessons on economics yourself,Negative,Negative,Negative,no
You look great with bart.,Positive,Positive,Positive,no
"Thank you BOTH for Not interrupting S.S., he speaks in a way that most hosts cannot allow his pauses, you did it right and what a great interview!",Positive,Positive,Positive,no
"Почему у них специфический голос (у цыганок)?с закрытыми глазами можно узнать,что разговаривает цынанка?🤔",Neutral,Neutral,Neutral,no
"I believe in humanity and human rights. In short, I have no need for a God.",Neutral,Neutral,Neutral,no
React is one of the technologies I'd planned on learning this year after doing alot of backend work with python and some bootstraping and i think this course is just so much of a good thing that has happen so far to me. Thanks alot FCC and SCRIMBA we really appreciate.,Positive,Positive,Positive,no
This is a very challenging topic 😬😬,Neutral,Neutral,Neutral,no
Name := Sanket shelar Age := 18 Mumbai,Neutral,Neutral,Neutral,no
I went from broke to earning millions when I taught my cat to invest in the stock exchange. My cat is now an in-demand broker and can be contacted on …(half of these stupid spam comments),Negative,Negative,Negative,no
"Oh my goodness this is a result of someone never truly having a job. This moron has milked the government for millions and millions of dollars. He is so pathetically stupid, how could anyone vote for this idiot.",Negative,Negative,Negative,no
"Mexifornia, the late great state of California, is losing their best and brightest young families and their parents, grandparents are following, taking their businesses and wealth with them, Idaho, Arizona, the Carolinas,Tennessee, Texas and Florida, all RED states with better schools🇺🇸🇺🇸",Negative,Negative,Negative,no
Biden lecturing about the abused of power is fucking insane on a whole new level.,Negative,Negative,Negative,no
"Can anyone please tell me, how to code this program on a locally installed version of python. I mean, in neet/leet code, linked lists are predefined. I can't solve this problem on my local pc, without defining a list first.",Neutral,Neutral,Neutral,no
Don't buy the 14 Pro Max; get the 16 with a 60Hz screen and just two cameras 😂,Negative,Negative,Negative,no
"As someone who unfortunately overthinks and has a lot of empathy, even knowing it's safe, I wouldn't be able to bring myself to eat it.",Neutral,Neutral,Neutral,no
"Saying Biden has been a disaster is like, repeat, say the line again.",Negative,Negative,Negative,no
blood sausage????,Neutral,Neutral,Neutral,no
What in the world is this....,Neutral,Neutral,Neutral,no
That women politician was completely clueless what the hell was she talking about Rupert was spot on as usual,Negative,Negative,Negative,no
ахахаха парень тупой и не знает что такое инверсия . есть даже в самом примитивном приложении. Как он вообще ещё догадался что нужно подсветку сделать,Negative,Negative,Negative,no
The empty danimals in the back cup holder is so real,Neutral,Neutral,Neutral,no
Pls do what works for you,Neutral,Neutral,Neutral,no
"thank you for the video. Given that I'm utilizing Angular as my JavaScript library, how might I implement the toggle functionality?",Neutral,Neutral,Neutral,no
Wow is girl new is so so cute💛😍🥰,Positive,Positive,Positive,no
Wow...matt should receive the medal of honor 🎖. Hopefully he writes a book and makes a movie off of the incident. He's so tough,Positive,Positive,Positive,no
"When I had a concussion, my partner handed me the TV remote and asked me to lower the volume down; I gazed at it as if it had come from outer space. He then called an ambulance.",Neutral,Neutral,Neutral,no
"Hello Tim, sorry, but nothing more than the many tutorials on this subject. I would have hoped from you that you would divide the screen for four cameras, that you say after 5 seconds start cam 1, the body is in front of cam 2 so it starts after the first one goes off if it detects a body. I would have wanted you to show how the video can take a photo when you detect the face ... ect but you still the best;)",Neutral,Neutral,Neutral,no
We're looking for a complete digital marketing course,Neutral,Neutral,Neutral,no
If you have make more than 21 trillion dollars a year then you might be close to making to much money. If you are below that I think you are ok.,Neutral,Neutral,Neutral,no
Are we seriously having phone debates in 2025? 😔,Negative,Negative,Negative,no
I have just found NeetCode150 on yesterday!! Thanks so much for you guys to contribute the so nice study resources to help beginners to start Data structures and algorithms!,Positive,Positive,Positive,no
"That lady made German sound lovely. R.I.P to the Queen. Met her once at the local church very small woman, very polite.",Positive,Positive,Positive,no
Need to learn PHP for my next project at work. You are my hope.,Positive,Positive,Positive,no
"switch (age) { case 1: System.out.println(""monday""); break; case 2: System.out.println(""tuesday""); break; case 3: System.out.println(""wednesday""); break; case 4: System.out.println(""thursday""); break; case 5: System.out.println(""friday""); break; case 6: System.out.println(""saturday""); break; case 7: System.out.println(""sunday""); break; default: System.out.println(""Not in this calander""); break;",Neutral,Neutral,Neutral,no
"GOP for Sale, Foreign Money Welcome. Have we had enough America? Remove the Electoral Process, it is unconstitutional. Every VOTE should count during a presidential election. This is not a State issue. #45*, Moscow Mitch and NRA betrayed our country and are Russian Entities funnelling money to the Russian Republicans. Follow the foreign money being invested in America. The TRUTH is There.",Negative,Negative,Negative,no
"Ma'am, please include projects centered around cyber security.",Neutral,Neutral,Neutral,no
I'd watch this channel more if they'd get some more news hosts other than this lady.,Negative,Negative,Negative,no
Why post this without the end? Are you stupid?,Negative,Negative,Negative,no
Being stronger than steel and only 1/3 the weight is actually worse than titanium which is around 45% lighter than steel,Negative,Negative,Negative,no
"sir, you are doing stupendous job. May you live long and doing your work with the same impetus. I am from pakistan and i am very greatfull to you for making these videos free of cost. seriously harry bhai i have no words to say thanks to you. keep doing and shining with your effective vedios,",Positive,Positive,Positive,no
"please guys, where is this appending for the plot answer ????????????????",Neutral,Neutral,Neutral,no
"I realize this is an older comment, but he's been dealing with a mental health condition for many years. He's not doing well.",Neutral,Neutral,Neutral,no
I have a question actually. why you create jwt token and hashed the password in model rather than in controller?,Neutral,Neutral,Neutral,no
Anyone watching this in 2025? 😅 👇,Neutral,Neutral,Neutral,no
Imagine Gavin Newsom being the leader of an entire country. Worst nightmare. Wait... I live that nightmare every day in Canada.,Negative,Negative,Negative,no
Amego jajajaja,Neutral,Neutral,Neutral,no
We want to see the hostages not your media lying mouth take the camera off yourself. $&@!,Negative,Negative,Negative,no
"Could you create a more in-depth tutorial video on developing Android applications using KOTLIN, please?",Neutral,Neutral,Neutral,no
What happens if internet shot down happened all over the world just like Covid lock down,Neutral,Neutral,Neutral,no
"Come on now, I can’t watch this video with the alarm beepin cuz the wife thinks we’re all gonna die!!😅",Neutral,Neutral,Neutral,no
Thankyou thankyou thankyou,Positive,Positive,Positive,no
Ng pasikat lg mga congress ng drama lg galit2 kuno ...,Negative,Negative,Negative,no
This man's outerwear speaks volumes. Refrain from providing him monetary support!,Negative,Negative,Negative,no
Many Thanks,Positive,Positive,Positive,no
We need some way of getting Joy to vacation in Ukraine before her trip to Italy. What about a possible GO FUND ME?,Negative,Negative,Negative,no
1 DETAILS TAG😂😂,Neutral,Neutral,Neutral,no
"You're too focused on Flutter, and you're giving it incorrect wins.",Negative,Negative,Negative,no
How am I now realizing that the P in Swaggy P makes zero sense 😂😂😂😂,Neutral,Neutral,Neutral,no
"Lots of love from Tim ,you're awesome. ❤❤❤❤",Positive,Positive,Positive,no
Bro it says playstation,Neutral,Neutral,Neutral,no
"That was actually nice, but at the end was funnyyyyyyy😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",Positive,Positive,Positive,no
