text,label,text_raw,text_classical,text_transformer,VideoID,VideoTitle,PublishedAt,CountryCode,CategoryID
"""Payal has completely turned the home into a source of entertainment.""",Negative,"""Payal has completely turned the home into a source of entertainment.""",payal has completely turned the home into source of entertainment,"""Payal has completely turned the home into a source of entertainment.""",d4CZXUDiXIw,Dulha Dulhan Outfit Done,2025-02-04 02:14:12,CA,22
you never seize to amaze me. Great explanation!,Positive,you never seize to amaze me. Great explanation!,you never seize to amaze me great explanation,you never seize to amaze me. Great explanation!,NO5kUNxGIu0,The JavaScript DOM explained in 5 minutes! 🌳,2024-10-02 20:18:49,CA,27
This looks like the stalker game,Neutral,This looks like the stalker game,this looks like the stalker game,This looks like the stalker game,QVqYHPixwGc,My VIEWERS Are STALKING Me... [Parasocial],2025-01-15 13:55:10,NZ,20
Smell Play Doh eagle eagle eagle eagle,Neutral,Smell Play Doh 🦅🦅🦅🦅,smell play doh eagle eagle eagle eagle,Smell Play Doh eagle eagle eagle eagle,Wq1ajCGpt9U,Oldest trick in the book,2025-01-11 15:04:23,AU,24
"I am in Camp Michael on this one - felt so liberating not having to stick earbuds in any more. Hope you like my music, cause if you're in a 30 foot radius you'll be listening too.",Positive,"I am in Camp Michael on this one - felt so liberating not having to stick earbuds in any more. Hope you like my music, cause if you're in a 30 foot radius you'll be listening too.",am in camp michael on this one felt so liberating not having to stick earbuds in any more hope you like my music cause if you re in foot radius you ll be listening too,"I am in Camp Michael on this one - felt so liberating not having to stick earbuds in any more. Hope you like my music, cause if you're in a 30 foot radius you'll be listening too.",1gXqY7AvoZY,Which do you prefer? Wired or Bluetooth Ear Buds? (Or regular headphones?)  #relatable #millennial,2025-01-08 04:29:19,AU,28
"Just admit you're not skilled at skateboarding, and they'll probably be okay with you. But if you act like a jerk and a douchebag, I'd also do double flips on you all day because you can't do it.",Negative,"Just admit you're not skilled at skateboarding, and they'll probably be okay with you. But if you act like a jerk and a douchebag, I'd also do double flips on you all day because you can't do it.",just admit you re not skilled at skateboarding and they ll probably be okay with you but if you act like jerk and douchebag also do double flips on you all day because you can do it,"Just admit you're not skilled at skateboarding, and they'll probably be okay with you. But if you act like a jerk and a douchebag, I'd also do double flips on you all day because you can't do it.",eb4Ax0ZZYyw,That one skater that only does weird tricks pt. 7,2025-02-04 12:49:49,US,17
<! DOCTYPE html> <html> <head> <title>Thanks </title> </head> <body> <h1> THANK YOU BHAIYA</h1> </body> </html>,Positive,<! DOCTYPE html> <html> <head> <title>Thanks </title> </head> <body> <h1> THANK YOU BHAIYA</h1> </body> </html>,doctype html html head title thanks title head body thank you bhaiya body html,<! DOCTYPE html> <html> <head> <title>Thanks </title> </head> <body> <h1> THANK YOU BHAIYA</h1> </body> </html>,Rek0NWPCNOc,HTML Course | From Beginners to Advance Level | Lecture 1,2020-12-14 16:34:22,IN,27
"Brother, I don't even know the basics of coding; can I learn to code?",Neutral,"Brother, I don't even know the basics of coding; can I learn to code?",brother don even know the basics of coding can learn to code,"Brother, I don't even know the basics of coding; can I learn to code?",Vq-bgH0yq6Y,Complete Full Stack Web Developer Roadmap (2024 Edition),2025-02-05 11:00:57,IN,27
"I briefly connected the battery backwards on one of mine (it was dark) and fried the keypad. It’s completely unresponsive now. Fortunately, I have the emergency key for it face with peeking eye face with tears of joy",Negative,"I briefly connected the battery backwards on one of mine (it was dark) and fried the keypad. It’s completely unresponsive now. Fortunately, I have the emergency key for it 🫣😂",briefly connected the battery backwards on one of mine it was dark and fried the keypad it completely unresponsive now fortunately have the emergency key for it face with peeking eye face with tears of joy,"I briefly connected the battery backwards on one of mine (it was dark) and fried the keypad. It’s completely unresponsive now. Fortunately, I have the emergency key for it face with peeking eye face with tears of joy",ZnWpsyJwbVw,"Amsec Safe ESL10 stop working, try new keypad before drilling. #amsec #digital #keypad #homesafe",2025-02-04 03:21:31,GB,28
This the best series ever! Please don't ruin the conclusion the way they did on that dragon show.,Positive,This the best series ever! Please don't ruin the conclusion the way they did on that dragon show.,this the best series ever please don ruin the conclusion the way they did on that dragon show,This the best series ever! Please don't ruin the conclusion the way they did on that dragon show.,31foSW2dfuE,Siri and Alexa take down ChatGPT,2024-12-29 15:40:28,CA,28
I might actually start using bootstrap again for some things. It's a close race with Tailwind.,Positive,I might actually start using bootstrap again for some things. It's a close race with Tailwind.,might actually start using bootstrap again for some things it close race with tailwind,I might actually start using bootstrap again for some things. It's a close race with Tailwind.,I7CfaDYzTVM,Bootstrap 5 - First Look,2020-06-25 16:20:19,US,27
That's what is called chumming.the water,Neutral,That's what is called chumming.the water,that what is called chumming the water,That's what is called chumming.the water,ogugrw6aGqQ,"JAWS-DROPPING JACKPOTS & $100,000 COMEBACK On Million Dollar Dragon Link",2025-01-13 01:19:19,NZ,20
"Or get your lazy ass out and open and close the gate behind you, I've seen both in action and opening and closing the gate is by far the best",Negative,"Or get your lazy ass out and open and close the gate behind you, I've seen both in action and opening and closing the gate is by far the best",or get your lazy ass out and open and close the gate behind you ve seen both in action and opening and closing the gate is by far the best,"Or get your lazy ass out and open and close the gate behind you, I've seen both in action and opening and closing the gate is by far the best",8nuZ2HQl4d8,Cattle guard explained,2025-01-13 04:02:10,AU,15
"i’ve read through some of my journals from elementary/middle school and i can confirm, no baptisms, mostly crushes and depression loudly crying face loudly crying face",Neutral,"i’ve read through some of my journals from elementary/middle school and i can confirm, no baptisms, mostly crushes and depression 😭😭",ve read through some of my journals from elementary middle school and can confirm no baptisms mostly crushes and depression loudly crying face loudly crying face,"i’ve read through some of my journals from elementary/middle school and i can confirm, no baptisms, mostly crushes and depression loudly crying face loudly crying face",c2Q8pkKxwHI,Reading My EXTREMELY Mormon Journals (i was so brainwashed lol),2025-01-10 19:49:32,CA,22
"sir, please create a video demonstrating the usage of the WooCommerce RESTful API in Ionic 4",Neutral,"sir, please create a video demonstrating the usage of the WooCommerce RESTful API in Ionic 4",sir please create video demonstrating the usage of the woocommerce restful api in ionic,"sir, please create a video demonstrating the usage of the WooCommerce RESTful API in Ionic 4",0oXYLzuucwE,What is a RESTful API? | Creating a REST API with Node.js,2025-02-04 23:32:45,DE,27
Idk why but i cant stop watching this reel again and again . Ive been watching it daily from past two days multiple times. Its just so cute man loudly crying face loudly crying face heart suit heart suit asteroid destroyer and galaxy annihilator are just so cute heart suit,Positive,Idk why but i cant stop watching this reel again and again . Ive been watching it daily from past two days multiple times. Its just so cute man 😭😭♥️♥️ asteroid destroyer and galaxy annihilator are just so cute ♥️,idk why but cant stop watching this reel again and again ive been watching it daily from past two days multiple times its just so cute man loudly crying face loudly crying face heart suit heart suit asteroid destroyer and galaxy annihilator are just so cute heart suit,Idk why but i cant stop watching this reel again and again . Ive been watching it daily from past two days multiple times. Its just so cute man loudly crying face loudly crying face heart suit heart suit asteroid destroyer and galaxy annihilator are just so cute heart suit,uGQHnbWUy0U,I CANT CHOOSE 😭@Imthe_annag,2025-01-12 19:30:38,AU,15
Thanus's friend crying face,Neutral,Thanus's friend😢,thanus friend crying face,Thanus's friend crying face,C-DJM_kxDYU,Thanos when he takes his medicines #squidgame #edit #thanos,2025-01-13 14:25:16,AU,24
"He was the one, we fans wanted him to become the next Ironman/ the one who carries his legacy but they served us shit.",Negative,"He was the one, we fans wanted him to become the next Ironman/ the one who carries his legacy but they served us shit.",he was the one we fans wanted him to become the next ironman the one who carries his legacy but they served us shit,"He was the one, we fans wanted him to become the next Ironman/ the one who carries his legacy but they served us shit.",c6egT-9Uyos,Iron Man #fyp #ironman #harley #diewithasmile,2025-01-15 16:27:30,NZ,1
Finally one person that does not fake stories and make up something else’s red heart star,Positive,Finally one person that does not fake stories and make up something else’s❤️⭐️,finally one person that does not fake stories and make up something else red heart star,Finally one person that does not fake stories and make up something else’s red heart star,KqmPipZSovo,Do NOT Jump In To Save This “Person” 😰 #dangerous,2025-01-10 16:49:39,AU,15
the reason for putting this on blind 75 was to solve in linear time. n^2 is very basic question. For linear time -> Manacher's Algorithm,Negative,the reason for putting this on blind 75 was to solve in linear time. n^2 is very basic question. For linear time -> Manacher's Algorithm,the reason for putting this on blind was to solve in linear time is very basic question for linear time manacher algorithm,the reason for putting this on blind 75 was to solve in linear time. n^2 is very basic question. For linear time -> Manacher's Algorithm,XYQecbcd6_c,Longest Palindromic Substring - Python - Leetcode 5,2024-11-16 16:56:18,US,27
I love it. It's awesome. I just downloaded it,Positive,I love it. It's awesome. I just downloaded it,love it it awesome just downloaded it,I love it. It's awesome. I just downloaded it,COsG94dExUI,Every Developer NEEDS This,2022-05-26 18:10:42,US,27
Dude. You are awesome. This video is helping me out so much at work right now and you have videos on pubsub/patterns and security which are things I got my ass kicked on in my first interviews in the bay area. I will happily contribute once I start up this career. God bless you,Positive,Dude. You are awesome. This video is helping me out so much at work right now and you have videos on pubsub/patterns and security which are things I got my ass kicked on in my first interviews in the bay area. I will happily contribute once I start up this career. God bless you,dude you are awesome this video is helping me out so much at work right now and you have videos on pubsub patterns and security which are things got my ass kicked on in my first interviews in the bay area will happily contribute once start up this career god bless you,Dude. You are awesome. This video is helping me out so much at work right now and you have videos on pubsub/patterns and security which are things I got my ass kicked on in my first interviews in the bay area. I will happily contribute once I start up this career. God bless you,6ZnfsJ6mM5c,React Native Tutorial for Beginners - Getting Started,2019-08-21 04:17:59,DE,27
its me !,Neutral,6:32 its me !,its me,its me !,0OkOQhXhsIE,I'm 17 | Kate Simonds | TEDxBoise,2021-05-30 16:34:24,US,25
Can you come and teach at HoGent? I learned more in this video than i did in 2 weeks from my lector..,Positive,Can you come and teach at HoGent? I learned more in this video than i did in 2 weeks from my lector..,can you come and teach at hogent learned more in this video than did in weeks from my lector,Can you come and teach at HoGent? I learned more in this video than i did in 2 weeks from my lector..,gfkTfcpWqAY,C# Tutorial For Beginners - Learn C# Basics in 1 Hour,2024-10-07 17:52:34,AU,27
When your coffee lacks sufficient sand content,Negative,When your coffee lacks sufficient sand content,when your coffee lacks sufficient sand content,When your coffee lacks sufficient sand content,HbCsfvZs2mk,Sand Coffee Secrets,2025-02-04 14:16:21,US,26
I identify as the Dark Lord Sauron. Which makes me your ruler! Everyone must bow before me! Dun dun dun! :money-mouth face:,Neutral,I identify as the Dark Lord Sauron. Which makes me your ruler! Everyone must bow before me! Dun dun dun! 🤑,identify as the dark lord sauron which makes me your ruler everyone must bow before me dun dun dun money mouth face,I identify as the Dark Lord Sauron. Which makes me your ruler! Everyone must bow before me! Dun dun dun! :money-mouth face:,wz3Fd_ekiIo,INSANE: Viral Video Shows Trans Activist HARASSING Sonic Employee,2022-10-14 02:49:53,US,25
That coat is pretty,Positive,That coat is pretty,that coat is pretty,That coat is pretty,QUoIofOGrHI,A quick fix for your coat,2025-01-13 21:45:21,IE,26
Jokic is a legend.,Positive,Jokic is a legend.,jokic is legend,Jokic is a legend.,XrvQT6yRAdM,Jokic wasn't with that 😅,2025-01-08 18:45:27,US,17
Great video.,Positive,Great video.,great video,Great video.,MLtAMg9_Svw,Coding Challenge #66: JavaScript Countdown Timer,2018-11-26 14:14:10,US,27
New to python and starting my own project working with excel files. Tried to go through the documentation for openpyxl and was wasting alot of time learning unnecessary information based on what I was trying to accomplish. You've done a wonderful job with this and I was able to easily follow along and experiment along the way. Put together a py file for my notes on this module. Tim is Great!,Positive,New to python and starting my own project working with excel files. Tried to go through the documentation for openpyxl and was wasting alot of time learning unnecessary information based on what I was trying to accomplish. You've done a wonderful job with this and I was able to easily follow along and experiment along the way. Put together a py file for my notes on this module. Tim is Great!,new to python and starting my own project working with excel files tried to go through the documentation for openpyxl and was wasting alot of time learning unnecessary information based on what was trying to accomplish you ve done wonderful job with this and was able to easily follow along and experiment along the way put together py file for my notes on this module tim is great,New to python and starting my own project working with excel files. Tried to go through the documentation for openpyxl and was wasting alot of time learning unnecessary information based on what I was trying to accomplish. You've done a wonderful job with this and I was able to easily follow along and experiment along the way. Put together a py file for my notes on this module. Tim is Great!,7YS6YDQKFh0,Automate Excel With Python - Python Excel Tutorial (OpenPyXL),2022-02-28 18:18:17,US,27
A black Karen is outrageous,Negative,A black Karen is outrageous,black karen is outrageous,A black Karen is outrageous,fEWFpJXBg54,Karen Block The Road RoadRage😬,2025-01-13 23:57:18,NZ,2
"1minus4 cannot be,, very simple!!",Neutral,"1minus4 cannot be,, very simple!!",minus cannot be very simple,"1minus4 cannot be,, very simple!!",y593aoPdttk,Zelenskyy: Ukrainian troops make gains near Kharkiv | DW News,2022-05-24 22:55:36,DE,25
"So, I guess, it is not going to fit in the standard size case. If you get bigger case and install it, you won't be able to use any PCI slots in your PC because they will be blocked by the GPU. It will require some kind of structural braces to support GPU's weight. You will also require to upgrade wiring in your house so you could run PC with Kilowatt power supply and additional AC unit to keep your room cool when you running your PC. Way to go fellas. I still remember those days when making things smaller and more efficient was a matter of engineer's pride. The only solution modern developers use is to make things bigger, put more stuff in it and feed it with more power.",Negative,"So, I guess, it is not going to fit in the standard size case. If you get bigger case and install it, you won't be able to use any PCI slots in your PC because they will be blocked by the GPU. It will require some kind of structural braces to support GPU's weight. You will also require to upgrade wiring in your house so you could run PC with Kilowatt power supply and additional AC unit to keep your room cool when you running your PC. Way to go fellas. I still remember those days when making things smaller and more efficient was a matter of engineer's pride. The only solution modern developers use is to make things bigger, put more stuff in it and feed it with more power.",so guess it is not going to fit in the standard size case if you get bigger case and install it you won be able to use any pci slots in your pc because they will be blocked by the gpu it will require some kind of structural braces to support gpu weight you will also require to upgrade wiring in your house so you could run pc with kilowatt power supply and additional ac unit to keep your room cool when you running your pc way to go fellas still remember those days when making things smaller and more efficient was matter of engineer pride the only solution modern developers use is to make things bigger put more stuff in it and feed it with more power,"So, I guess, it is not going to fit in the standard size case. If you get bigger case and install it, you won't be able to use any PCI slots in your PC because they will be blocked by the GPU. It will require some kind of structural braces to support GPU's weight. You will also require to upgrade wiring in your house so you could run PC with Kilowatt power supply and additional AC unit to keep your room cool when you running your PC. Way to go fellas. I still remember those days when making things smaller and more efficient was a matter of engineer's pride. The only solution modern developers use is to make things bigger, put more stuff in it and feed it with more power.",dQ8gSV_KyDw,"NVIDIA RTX 5090 at 575 Watts, RTX 5080, 5070 Ti, & 5070 Specs",2025-01-09 11:38:47,US,28
"Thanks for this tutorial: with your lectures I improved an algorithm that calculates any of level the Pascal's triangle, it was really satisfying to see the big improvement with a very few lines of code",Positive,"Thanks for this tutorial: with your lectures I improved an algorithm that calculates any of level the Pascal's triangle, it was really satisfying to see the big improvement with a very few lines of code",thanks for this tutorial with your lectures improved an algorithm that calculates any of level the pascal triangle it was really satisfying to see the big improvement with very few lines of code,"Thanks for this tutorial: with your lectures I improved an algorithm that calculates any of level the Pascal's triangle, it was really satisfying to see the big improvement with a very few lines of code",oBt53YbR9Kk,Dynamic Programming - Learn to Solve Algorithmic Problems & Coding Challenges,2021-06-10 22:22:56,US,27
"It's just getting insaan face with tears of joy now we can copy websites too ,thanks big bro ,html is so powerful",Positive,"It's just getting insaan 😂now we can copy websites too ,thanks big bro ,html is so powerful",it just getting insaan face with tears of joy now we can copy websites too thanks big bro html is so powerful,"It's just getting insaan face with tears of joy now we can copy websites too ,thanks big bro ,html is so powerful",buxedopZbKM,CSS Tutorial: Using Chrome Developer Tools | Web Development Tutorials #16,2023-12-30 17:47:17,IN,27
Thank you! this helped me a lot!!,Positive,Thank you! this helped me a lot!!,thank you this helped me lot,Thank you! this helped me a lot!!,Ej_02ICOIgs,Object Oriented Programming with Python - Full Course for Beginners,2024-08-23 14:53:58,US,27
"It's unbelievable how every scene in this show featuring this woman, she messes everything up face with tears of joy face with tears of joy face with tears of joy",Negative,"It's unbelievable how every scene in this show featuring this woman, she messes everything up 😂😂😂",it unbelievable how every scene in this show featuring this woman she messes everything up face with tears of joy face with tears of joy face with tears of joy,"It's unbelievable how every scene in this show featuring this woman, she messes everything up face with tears of joy face with tears of joy face with tears of joy",DxmiTVV3GHY,Bomber waited a decade for cops to show up | #TheRookie,2025-02-04 04:17:02,NZ,1
"How is Randy placed amongst the middle of the group? Surely he’s the worst, no?",Negative,"How is Randy placed amongst the middle of the group? Surely he’s the worst, no?",how is randy placed amongst the middle of the group surely he the worst no,"How is Randy placed amongst the middle of the group? Surely he’s the worst, no?",lvA3KQEiNAY,BIG WEDGE GOLF BUT OUR CLUBS ARE THE HANDICAP!,2025-01-08 04:28:03,GB,17
"Let's give it a try, there's no harm in trying.",Neutral,"Let's give it a try, there's no harm in trying.",let give it try there no harm in trying,"Let's give it a try, there's no harm in trying.",2JroEREiBLw,Web development is getting saturated,2025-02-05 03:27:50,IN,27
"It's funny how literally millions of people say these things for years and are not only largely ignored but also mocked and made fun of and ""cancelled"" and outed as fake news... then when truth slaps the normies in the face they all act surprised AND as if they are the first ones making a mew discovery... Then the cycle just repeats OVER & OVER with the same exact people, the same woke liberals against MAGA supporters that actually know their politics and candidates and what they are doing and all about.. people WELL AWARE of an agenda you can literally show receipt after receipt for and expose top down now yet..... The cycle will repeat",Neutral,"It's funny how literally millions of people say these things for years and are not only largely ignored but also mocked and made fun of and ""cancelled"" and outed as fake news... then when truth slaps the normies in the face they all act surprised AND as if they are the first ones making a mew discovery... Then the cycle just repeats OVER & OVER with the same exact people, the same woke liberals against MAGA supporters that actually know their politics and candidates and what they are doing and all about.. people WELL AWARE of an agenda you can literally show receipt after receipt for and expose top down now yet..... The cycle will repeat",it funny how literally millions of people say these things for years and are not only largely ignored but also mocked and made fun of and cancelled and outed as fake news then when truth slaps the normies in the face they all act surprised and as if they are the first ones making mew discovery then the cycle just repeats over over with the same exact people the same woke liberals against maga supporters that actually know their politics and candidates and what they are doing and all about people well aware of an agenda you can literally show receipt after receipt for and expose top down now yet the cycle will repeat,"It's funny how literally millions of people say these things for years and are not only largely ignored but also mocked and made fun of and ""cancelled"" and outed as fake news... then when truth slaps the normies in the face they all act surprised AND as if they are the first ones making a mew discovery... Then the cycle just repeats OVER & OVER with the same exact people, the same woke liberals against MAGA supporters that actually know their politics and candidates and what they are doing and all about.. people WELL AWARE of an agenda you can literally show receipt after receipt for and expose top down now yet..... The cycle will repeat",Rx6RPA_cEpM,McEnany: Biden’s press conference ‘most delusional’ I’ve ever seen,2022-11-24 10:49:13,CA,25
When reality rejects science your gonna have to deny one !,Neutral,When reality rejects science your gonna have to deny one !,when reality rejects science your gonna have to deny one,When reality rejects science your gonna have to deny one !,Bz6ch8wdnjc,🚨 EMERGENCY ALERT! Liberal Party Drops NUCLEAR BOMBSHELL On Justin Trudeau,2025-01-12 01:11:52,CA,25
"Years ago, when you had few enough viewers to respond to every question in the comments, I requested videos on sound analysis. When you uploaded this series, I didn't have time to do sound projects, but now I'm going through them and thank you so much for having made them in the meantime. FFT is very interesting. I got an idea for a way to compress sound in a way that could make music files take less memory but keeping a high quality. I don't know if it will work yet, but I'm just about to try it out.",Positive,"Years ago, when you had few enough viewers to respond to every question in the comments, I requested videos on sound analysis. When you uploaded this series, I didn't have time to do sound projects, but now I'm going through them and thank you so much for having made them in the meantime. FFT is very interesting. I got an idea for a way to compress sound in a way that could make music files take less memory but keeping a high quality. I don't know if it will work yet, but I'm just about to try it out.",years ago when you had few enough viewers to respond to every question in the comments requested videos on sound analysis when you uploaded this series didn have time to do sound projects but now going through them and thank you so much for having made them in the meantime fft is very interesting got an idea for way to compress sound in way that could make music files take less memory but keeping high quality don know if it will work yet but just about to try it out,"Years ago, when you had few enough viewers to respond to every question in the comments, I requested videos on sound analysis. When you uploaded this series, I didn't have time to do sound projects, but now I'm going through them and thank you so much for having made them in the meantime. FFT is very interesting. I got an idea for a way to compress sound in a way that could make music files take less memory but keeping a high quality. I don't know if it will work yet, but I'm just about to try it out.",2O3nm0Nvbi4,17.11: Sound Visualization: Frequency Analysis with FFT - p5.js Sound Tutorial,2019-12-28 21:00:09,US,27
No he's not. Like if u dont like it then just buy it from a market bro its the rule JUST BUY İT OR DONT it eoesnt make u cool or genious when u also play with them,Negative,No he's not. Like if u dont like it then just buy it from a market bro its the rule JUST BUY İT OR DONT it eoesnt make u cool or genious when u also play with them,no he not like if dont like it then just buy it from market bro its the rule just buy or dont it eoesnt make cool or genious when also play with them,No he's not. Like if u dont like it then just buy it from a market bro its the rule JUST BUY İT OR DONT it eoesnt make u cool or genious when u also play with them,3GOklqSQlMk,This Guy's A Genius🤣🤣🤣(@sermedmaktouf),2025-01-11 23:42:51,AU,24
Can you do the California state tree next pls,Neutral,Can you do the California state tree next pls,can you do the california state tree next pls,Can you do the California state tree next pls,AifbNF2n6mk,Making South Carolina out of Palmetto Wood | Official State Tree Map #shorts #trees #wood,2025-01-14 23:08:30,NZ,26
"I've honestly never heard of this meme, not once, and I'm on YouTube every single day lol.",Negative,"I've honestly never heard of this meme, not once, and I'm on YouTube every single day lol.",ve honestly never heard of this meme not once and on youtube every single day lol,"I've honestly never heard of this meme, not once, and I'm on YouTube every single day lol.",1o3LMiwQ3F8,Low taper fade 1 year anniversary 😭,2025-02-04 03:54:12,IE,26
"Ellen Page doesn't act, she's just naturally cringy awkward",Negative,"Ellen Page doesn't act, she's just naturally cringy awkward",ellen page doesn act she just naturally cringy awkward,"Ellen Page doesn't act, she's just naturally cringy awkward",9vogu_tC-cs,BREAKING: Ellen Page is a Man!? | Good Morning #MugClub,2020-12-02 18:12:09,US,25
