text,label,text_raw,text_classical,text_transformer
Marvel does acknowledge the death the heroes cause just not even close the level DC does. Dc is way better. They should put Thor in the universe,Neutral,Marvel does acknowledge the death the heroes cause just not even close the level DC does. Dc is way better. They should put Thor in the universe,marvel does acknowledge the death the heroes cause just not even close the level dc does dc is way better they should put thor in the universe,Marvel does acknowledge the death the heroes cause just not even close the level DC does. Dc is way better. They should put Thor in the universe
What's the cause of the fire?,Neutral,What's the cause of the fire?,what the cause of the fire,What's the cause of the fire?
"That's a bad opinion, prebuilt PCs usually overcharge for lower quality parts. They have to cut corners to reduce the price.",Negative,"That's a bad opinion, prebuilt PCs usually overcharge for lower quality parts. They have to cut corners to reduce the price.",that bad opinion prebuilt pcs usually overcharge for lower quality parts they have to cut corners to reduce the price,"That's a bad opinion, prebuilt PCs usually overcharge for lower quality parts. They have to cut corners to reduce the price."
"""Payal has completely turned the home into a source of entertainment.""",Negative,"""Payal has completely turned the home into a source of entertainment.""",payal has completely turned the home into source of entertainment,"""Payal has completely turned the home into a source of entertainment."""
you never seize to amaze me. Great explanation!,Positive,you never seize to amaze me. Great explanation!,you never seize to amaze me great explanation,you never seize to amaze me. Great explanation!
This looks like the stalker game,Neutral,This looks like the stalker game,this looks like the stalker game,This looks like the stalker game
Smell Play Doh eagle eagle eagle eagle,Neutral,Smell Play Doh 🦅🦅🦅🦅,smell play doh eagle eagle eagle eagle,Smell Play Doh eagle eagle eagle eagle
"I am in Camp Michael on this one - felt so liberating not having to stick earbuds in any more. Hope you like my music, cause if you're in a 30 foot radius you'll be listening too.",Positive,"I am in Camp Michael on this one - felt so liberating not having to stick earbuds in any more. Hope you like my music, cause if you're in a 30 foot radius you'll be listening too.",am in camp michael on this one felt so liberating not having to stick earbuds in any more hope you like my music cause if you re in foot radius you ll be listening too,"I am in Camp Michael on this one - felt so liberating not having to stick earbuds in any more. Hope you like my music, cause if you're in a 30 foot radius you'll be listening too."
"i already knw c,c++,java but never understand recursion that how it is actually working...but finally i can say that ""Hey...i knw the picturisation behind recursion"" and also enjoyed alot..smiling all the time while watching thanks Sir G",Positive,"i already knw c,c++,java but never understand recursion that how it is actually working...but finally i can say that ""Hey...i knw the picturisation behind recursion"" and also enjoyed alot..smiling all the time while watching thanks Sir G",already knw java but never understand recursion that how it is actually working but finally can say that hey knw the picturisation behind recursion and also enjoyed alot smiling all the time while watching thanks sir,"i already knw c,c++,java but never understand recursion that how it is actually working...but finally i can say that ""Hey...i knw the picturisation behind recursion"" and also enjoyed alot..smiling all the time while watching thanks Sir G"
<! DOCTYPE html> <html> <head> <title>Thanks </title> </head> <body> <h1> THANK YOU BHAIYA</h1> </body> </html>,Positive,<! DOCTYPE html> <html> <head> <title>Thanks </title> </head> <body> <h1> THANK YOU BHAIYA</h1> </body> </html>,doctype html html head title thanks title head body thank you bhaiya body html,<! DOCTYPE html> <html> <head> <title>Thanks </title> </head> <body> <h1> THANK YOU BHAIYA</h1> </body> </html>
"I briefly connected the battery backwards on one of mine (it was dark) and fried the keypad. It’s completely unresponsive now. Fortunately, I have the emergency key for it face with peeking eye face with tears of joy",Negative,"I briefly connected the battery backwards on one of mine (it was dark) and fried the keypad. It’s completely unresponsive now. Fortunately, I have the emergency key for it 🫣😂",briefly connected the battery backwards on one of mine it was dark and fried the keypad it completely unresponsive now fortunately have the emergency key for it face with peeking eye face with tears of joy,"I briefly connected the battery backwards on one of mine (it was dark) and fried the keypad. It’s completely unresponsive now. Fortunately, I have the emergency key for it face with peeking eye face with tears of joy"
"SHE can't still believe She's married to a Prince, can""t take her eyes off him",Negative,"SHE can't still believe She's married to a Prince, can""t take her eyes off him",she can still believe she married to prince can take her eyes off him,"SHE can't still believe She's married to a Prince, can""t take her eyes off him"
This the best series ever! Please don't ruin the conclusion the way they did on that dragon show.,Positive,This the best series ever! Please don't ruin the conclusion the way they did on that dragon show.,this the best series ever please don ruin the conclusion the way they did on that dragon show,This the best series ever! Please don't ruin the conclusion the way they did on that dragon show.
I might actually start using bootstrap again for some things. It's a close race with Tailwind.,Positive,I might actually start using bootstrap again for some things. It's a close race with Tailwind.,might actually start using bootstrap again for some things it close race with tailwind,I might actually start using bootstrap again for some things. It's a close race with Tailwind.
That's what is called chumming.the water,Neutral,That's what is called chumming.the water,that what is called chumming the water,That's what is called chumming.the water
In the winter cold face what the hell .,Neutral,In the winter 🥶 what the hell .,in the winter cold face what the hell,In the winter cold face what the hell .
"Or get your lazy ass out and open and close the gate behind you, I've seen both in action and opening and closing the gate is by far the best",Negative,"Or get your lazy ass out and open and close the gate behind you, I've seen both in action and opening and closing the gate is by far the best",or get your lazy ass out and open and close the gate behind you ve seen both in action and opening and closing the gate is by far the best,"Or get your lazy ass out and open and close the gate behind you, I've seen both in action and opening and closing the gate is by far the best"
"i’ve read through some of my journals from elementary/middle school and i can confirm, no baptisms, mostly crushes and depression loudly crying face loudly crying face",Neutral,"i’ve read through some of my journals from elementary/middle school and i can confirm, no baptisms, mostly crushes and depression 😭😭",ve read through some of my journals from elementary middle school and can confirm no baptisms mostly crushes and depression loudly crying face loudly crying face,"i’ve read through some of my journals from elementary/middle school and i can confirm, no baptisms, mostly crushes and depression loudly crying face loudly crying face"
"sir, please create a video demonstrating the usage of the WooCommerce RESTful API in Ionic 4",Neutral,"sir, please create a video demonstrating the usage of the WooCommerce RESTful API in Ionic 4",sir please create video demonstrating the usage of the woocommerce restful api in ionic,"sir, please create a video demonstrating the usage of the WooCommerce RESTful API in Ionic 4"
Idk why but i cant stop watching this reel again and again . Ive been watching it daily from past two days multiple times. Its just so cute man loudly crying face loudly crying face heart suit heart suit asteroid destroyer and galaxy annihilator are just so cute heart suit,Positive,Idk why but i cant stop watching this reel again and again . Ive been watching it daily from past two days multiple times. Its just so cute man 😭😭♥️♥️ asteroid destroyer and galaxy annihilator are just so cute ♥️,idk why but cant stop watching this reel again and again ive been watching it daily from past two days multiple times its just so cute man loudly crying face loudly crying face heart suit heart suit asteroid destroyer and galaxy annihilator are just so cute heart suit,Idk why but i cant stop watching this reel again and again . Ive been watching it daily from past two days multiple times. Its just so cute man loudly crying face loudly crying face heart suit heart suit asteroid destroyer and galaxy annihilator are just so cute heart suit
Please give me,Neutral,Please give me,please give me,Please give me
Thanus's friend crying face,Neutral,Thanus's friend😢,thanus friend crying face,Thanus's friend crying face
"He was the one, we fans wanted him to become the next Ironman/ the one who carries his legacy but they served us shit.",Negative,"He was the one, we fans wanted him to become the next Ironman/ the one who carries his legacy but they served us shit.",he was the one we fans wanted him to become the next ironman the one who carries his legacy but they served us shit,"He was the one, we fans wanted him to become the next Ironman/ the one who carries his legacy but they served us shit."
the reason for putting this on blind 75 was to solve in linear time. n^2 is very basic question. For linear time -> Manacher's Algorithm,Negative,the reason for putting this on blind 75 was to solve in linear time. n^2 is very basic question. For linear time -> Manacher's Algorithm,the reason for putting this on blind was to solve in linear time is very basic question for linear time manacher algorithm,the reason for putting this on blind 75 was to solve in linear time. n^2 is very basic question. For linear time -> Manacher's Algorithm
I love it. It's awesome. I just downloaded it,Positive,I love it. It's awesome. I just downloaded it,love it it awesome just downloaded it,I love it. It's awesome. I just downloaded it
Can you come and teach at HoGent? I learned more in this video than i did in 2 weeks from my lector..,Positive,Can you come and teach at HoGent? I learned more in this video than i did in 2 weeks from my lector..,can you come and teach at hogent learned more in this video than did in weeks from my lector,Can you come and teach at HoGent? I learned more in this video than i did in 2 weeks from my lector..
I identify as the Dark Lord Sauron. Which makes me your ruler! Everyone must bow before me! Dun dun dun! :money-mouth face:,Neutral,I identify as the Dark Lord Sauron. Which makes me your ruler! Everyone must bow before me! Dun dun dun! 🤑,identify as the dark lord sauron which makes me your ruler everyone must bow before me dun dun dun money mouth face,I identify as the Dark Lord Sauron. Which makes me your ruler! Everyone must bow before me! Dun dun dun! :money-mouth face:
That coat is pretty,Positive,That coat is pretty,that coat is pretty,That coat is pretty
Jokic is a legend.,Positive,Jokic is a legend.,jokic is legend,Jokic is a legend.
A black Karen is outrageous,Negative,A black Karen is outrageous,black karen is outrageous,A black Karen is outrageous
"Thanks for this tutorial: with your lectures I improved an algorithm that calculates any of level the Pascal's triangle, it was really satisfying to see the big improvement with a very few lines of code",Positive,"Thanks for this tutorial: with your lectures I improved an algorithm that calculates any of level the Pascal's triangle, it was really satisfying to see the big improvement with a very few lines of code",thanks for this tutorial with your lectures improved an algorithm that calculates any of level the pascal triangle it was really satisfying to see the big improvement with very few lines of code,"Thanks for this tutorial: with your lectures I improved an algorithm that calculates any of level the Pascal's triangle, it was really satisfying to see the big improvement with a very few lines of code"
"It's just getting insaan face with tears of joy now we can copy websites too ,thanks big bro ,html is so powerful",Positive,"It's just getting insaan 😂now we can copy websites too ,thanks big bro ,html is so powerful",it just getting insaan face with tears of joy now we can copy websites too thanks big bro html is so powerful,"It's just getting insaan face with tears of joy now we can copy websites too ,thanks big bro ,html is so powerful"
"It's unbelievable how every scene in this show featuring this woman, she messes everything up face with tears of joy face with tears of joy face with tears of joy",Negative,"It's unbelievable how every scene in this show featuring this woman, she messes everything up 😂😂😂",it unbelievable how every scene in this show featuring this woman she messes everything up face with tears of joy face with tears of joy face with tears of joy,"It's unbelievable how every scene in this show featuring this woman, she messes everything up face with tears of joy face with tears of joy face with tears of joy"
"How is Randy placed amongst the middle of the group? Surely he’s the worst, no?",Negative,"How is Randy placed amongst the middle of the group? Surely he’s the worst, no?",how is randy placed amongst the middle of the group surely he the worst no,"How is Randy placed amongst the middle of the group? Surely he’s the worst, no?"
"Let's give it a try, there's no harm in trying.",Neutral,"Let's give it a try, there's no harm in trying.",let give it try there no harm in trying,"Let's give it a try, there's no harm in trying."
I wish I found Bro Code earlier in my ‘teaching myself to code’ journey,Positive,I wish I found Bro Code earlier in my ‘teaching myself to code’ journey,wish found bro code earlier in my teaching myself to code journey,I wish I found Bro Code earlier in my ‘teaching myself to code’ journey
When reality rejects science your gonna have to deny one !,Neutral,When reality rejects science your gonna have to deny one !,when reality rejects science your gonna have to deny one,When reality rejects science your gonna have to deny one !
No he's not. Like if u dont like it then just buy it from a market bro its the rule JUST BUY İT OR DONT it eoesnt make u cool or genious when u also play with them,Negative,No he's not. Like if u dont like it then just buy it from a market bro its the rule JUST BUY İT OR DONT it eoesnt make u cool or genious when u also play with them,no he not like if dont like it then just buy it from market bro its the rule just buy or dont it eoesnt make cool or genious when also play with them,No he's not. Like if u dont like it then just buy it from a market bro its the rule JUST BUY İT OR DONT it eoesnt make u cool or genious when u also play with them
"I guess that's the end of the road. After dedicating two years to pursuing an IT degree while self-teaching during my limited free time, it seems I'll never overcome the entry barrier. I'm now questioning if all my efforts have been futile.",Negative,"I guess that's the end of the road. After dedicating two years to pursuing an IT degree while self-teaching during my limited free time, it seems I'll never overcome the entry barrier. I'm now questioning if all my efforts have been futile.",guess that the end of the road after dedicating two years to pursuing an it degree while self teaching during my limited free time it seems ll never overcome the entry barrier now questioning if all my efforts have been futile,"I guess that's the end of the road. After dedicating two years to pursuing an IT degree while self-teaching during my limited free time, it seems I'll never overcome the entry barrier. I'm now questioning if all my efforts have been futile."
"I've honestly never heard of this meme, not once, and I'm on YouTube every single day lol.",Negative,"I've honestly never heard of this meme, not once, and I'm on YouTube every single day lol.",ve honestly never heard of this meme not once and on youtube every single day lol,"I've honestly never heard of this meme, not once, and I'm on YouTube every single day lol."
Sweet wheels brotha. I hope the fires in Cali didn't harm that bad ass car,Positive,Sweet wheels brotha. I hope the fires in Cali didn't harm that bad ass car,sweet wheels brotha hope the fires in cali didn harm that bad ass car,Sweet wheels brotha. I hope the fires in Cali didn't harm that bad ass car
"Ellen Page doesn't act, she's just naturally cringy awkward",Negative,"Ellen Page doesn't act, she's just naturally cringy awkward",ellen page doesn act she just naturally cringy awkward,"Ellen Page doesn't act, she's just naturally cringy awkward"
Bro was showing him whos boss face with tears of joy,Positive,Bro was showing him whos boss 😂,bro was showing him whos boss face with tears of joy,Bro was showing him whos boss face with tears of joy
"It’s awesome, you read my mind!",Positive,"It’s awesome, you read my mind!",it awesome you read my mind,"It’s awesome, you read my mind!"
"I personally think that backend is better than frontend. Most business logic (i.e. the interesting stuff) happens in the backend, and playing with microservices is fun.",Positive,"I personally think that backend is better than frontend. Most business logic (i.e. the interesting stuff) happens in the backend, and playing with microservices is fun.",personally think that backend is better than frontend most business logic the interesting stuff happens in the backend and playing with microservices is fun,"I personally think that backend is better than frontend. Most business logic (i.e. the interesting stuff) happens in the backend, and playing with microservices is fun."
"If someone not doing oop, or programming where he do programming and oop concepts??",Neutral,"If someone not doing oop, or programming where he do programming and oop concepts??",if someone not doing oop or programming where he do programming and oop concepts,"If someone not doing oop, or programming where he do programming and oop concepts??"
Bro is an absolute legend,Positive,Bro is an absolute legend,bro is an absolute legend,Bro is an absolute legend
This is a horrible sight. Hope everyone is safe and my heart goes out to the civilians. red heart red heart red heart,Positive,This is a horrible sight. Hope everyone is safe and my heart goes out to the civilians. ❤❤❤,this is horrible sight hope everyone is safe and my heart goes out to the civilians red heart red heart red heart,This is a horrible sight. Hope everyone is safe and my heart goes out to the civilians. red heart red heart red heart
USB C actually sucks It’s put everywhere so you have to tag each cord if you want to know what it’s capable of It’s flimsy and is more like to break off than Display Port and HDMI and the majority of people can even use it as a display adapter because most monitors and gpus don’t have a usbc port,Negative,USB C actually sucks It’s put everywhere so you have to tag each cord if you want to know what it’s capable of It’s flimsy and is more like to break off than Display Port and HDMI and the majority of people can even use it as a display adapter because most monitors and gpus don’t have a usbc port,usb actually sucks it put everywhere so you have to tag each cord if you want to know what it capable of it flimsy and is more like to break off than display port and hdmi and the majority of people can even use it as display adapter because most monitors and gpus don have usbc port,USB C actually sucks It’s put everywhere so you have to tag each cord if you want to know what it’s capable of It’s flimsy and is more like to break off than Display Port and HDMI and the majority of people can even use it as a display adapter because most monitors and gpus don’t have a usbc port
"A lot of love, support, help to Ukraine two hearts folded hands",Positive,"A lot of love, support, help to Ukraine 💕🙏",lot of love support help to ukraine two hearts folded hands,"A lot of love, support, help to Ukraine two hearts folded hands"
"For the contains Duplicate problem on LeetCode, if you use an unordered map in C++, then for an example like , the insertion time complexity becomes (n-1) * n, which would turn the solution into O(n^2) instead of O(n) for time and space complexity",Negative,"For the contains Duplicate problem on LeetCode, if you use an unordered_map in C++, then for an example like [1,2,...n,1], the insertion time complexity becomes (n-1) * n, which would turn the solution into O(n^2) instead of O(n) for time and space complexity",for the contains duplicate problem on leetcode if you use an unordered map in then for an example like the insertion time complexity becomes which would turn the solution into instead of for time and space complexity,"For the contains Duplicate problem on LeetCode, if you use an unordered map in C++, then for an example like , the insertion time complexity becomes (n-1) * n, which would turn the solution into O(n^2) instead of O(n) for time and space complexity"
I go rest mode around major game updates and power off between them to save energy.,Neutral,I go rest mode around major game updates and power off between them to save energy.,go rest mode around major game updates and power off between them to save energy,I go rest mode around major game updates and power off between them to save energy.
If you put a gloss hardener in the base coat you will get the factory like satin finish. It also saves you the step of clear coating. Hope that helps. Love the channel.,Neutral,If you put a gloss hardener in the base coat you will get the factory like satin finish. It also saves you the step of clear coating. Hope that helps. Love the channel.,if you put gloss hardener in the base coat you will get the factory like satin finish it also saves you the step of clear coating hope that helps love the channel,If you put a gloss hardener in the base coat you will get the factory like satin finish. It also saves you the step of clear coating. Hope that helps. Love the channel.
face with tears of joy face with tears of joy face with tears of joy nice :smiling face with heart-eyes: smiling face with sunglasses eye :star-struck::smiling face with heart-eyes: red heart wing,Positive,😂😂😂nice 😍😎👁️🤩😍❤️🪽,face with tears of joy face with tears of joy face with tears of joy nice smiling face with heart eyes smiling face with sunglasses eye star struck smiling face with heart eyes red heart wing,face with tears of joy face with tears of joy face with tears of joy nice :smiling face with heart-eyes: smiling face with sunglasses eye :star-struck::smiling face with heart-eyes: red heart wing
"You'd freeze your backside off in North Korea, that's for sure.",Negative,"You'd freeze your backside off in North Korea, that's for sure.",you freeze your backside off in north korea that for sure,"You'd freeze your backside off in North Korea, that's for sure."
1) Reverse the order of the rows 2) Transpose the matrix,Neutral,1) Reverse the order of the rows 2) Transpose the matrix,reverse the order of the rows transpose the matrix,1) Reverse the order of the rows 2) Transpose the matrix
"He literally set the pressure plates manually, why would there be scuff marks in the wood as if they were constantly active skull skull writers need to pay attention to their script",Negative,"He literally set the pressure plates manually, why would there be scuff marks in the wood as if they were constantly active 💀💀 writers need to pay attention to their script",he literally set the pressure plates manually why would there be scuff marks in the wood as if they were constantly active skull skull writers need to pay attention to their script,"He literally set the pressure plates manually, why would there be scuff marks in the wood as if they were constantly active skull skull writers need to pay attention to their script"
WOW! he invented the wheel........,Negative,WOW! he invented the wheel........,wow he invented the wheel,WOW! he invented the wheel........
The way of teaching OMG keep it up red heart red heart red heart,Positive,The way of teaching OMG keep it up ❤❤❤,the way of teaching omg keep it up red heart red heart red heart,The way of teaching OMG keep it up red heart red heart red heart
Thankss red heart,Positive,Thankss ❤,thankss red heart,Thankss red heart
Nice solution i used a hash map instead,Positive,Nice solution i used a hash map instead,nice solution used hash map instead,Nice solution i used a hash map instead
That's what they get for support the tyrant,Negative,That's what they get for support the tyrant,that what they get for support the tyrant,That's what they get for support the tyrant
In answer to that question.... YES ! I stand with Ukraine.,Positive,In answer to that question.... YES ! I stand with Ukraine.,in answer to that question yes stand with ukraine,In answer to that question.... YES ! I stand with Ukraine.
"Can you activate the Audio Track option? With the new YouTube option, it may be easier for those of us who are not native speakers to follow the classes.",Neutral,"Can you activate the Audio Track option? With the new YouTube option, it may be easier for those of us who are not native speakers to follow the classes.",can you activate the audio track option with the new youtube option it may be easier for those of us who are not native speakers to follow the classes,"Can you activate the Audio Track option? With the new YouTube option, it may be easier for those of us who are not native speakers to follow the classes."
OMG tell us SOMETHING new.. we already know Russia has epically failed in Ukraine.,Positive,OMG tell us SOMETHING new.. we already know Russia has epically failed in Ukraine.,omg tell us something new we already know russia has epically failed in ukraine,OMG tell us SOMETHING new.. we already know Russia has epically failed in Ukraine.
"If he can fluke a win in League of Legends, I should *accidentally* become successful. That's not fair!",Negative,"If he can fluke a win in League of Legends, I should *accidentally* become successful. That's not fair!",if he can fluke win in league of legends should accidentally become successful that not fair,"If he can fluke a win in League of Legends, I should *accidentally* become successful. That's not fair!"
"SPEED, I really need this; my mom is in a tough spot with housing.",Negative,"SPEED, I really need this; my mom is in a tough spot with housing.",speed really need this my mom is in tough spot with housing,"SPEED, I really need this; my mom is in a tough spot with housing."
Really thank you,Positive,Really thank you,really thank you,Really thank you
That guy ought to be prohibited from participating in that fighting league. His conduct is disgraceful.,Negative,That guy ought to be prohibited from participating in that fighting league. His conduct is disgraceful.,that guy ought to be prohibited from participating in that fighting league his conduct is disgraceful,That guy ought to be prohibited from participating in that fighting league. His conduct is disgraceful.
:globe showing Europe-Africa: infinity nazar amulet,Neutral,🌍♾️🧿,globe showing europe africa infinity nazar amulet,:globe showing Europe-Africa: infinity nazar amulet
"My experience is very good here. The best HTML tutorial I have ever seen. Thanks a lot, Harry bhai Love from Pakistan",Positive,"My experience is very good here. The best HTML tutorial I have ever seen. Thanks a lot, Harry bhai Love from Pakistan",my experience is very good here the best html tutorial have ever seen thanks lot harry bhai love from pakistan,"My experience is very good here. The best HTML tutorial I have ever seen. Thanks a lot, Harry bhai Love from Pakistan"
Love it! Keep up the great work! :heart hands medium-dark skin tone:,Positive,Love it! Keep up the great work! 🫶🏾,love it keep up the great work heart hands medium dark skin tone,Love it! Keep up the great work! :heart hands medium-dark skin tone:
"This code can be upgraded by adding the functionality of finding and naming the sockets automatically. And furthermore, it could take an image and extract the tiles automatically. Nice video, congrats!",Positive,"This code can be upgraded by adding the functionality of finding and naming the sockets automatically. And furthermore, it could take an image and extract the tiles automatically. Nice video, congrats!",this code can be upgraded by adding the functionality of finding and naming the sockets automatically and furthermore it could take an image and extract the tiles automatically nice video congrats,"This code can be upgraded by adding the functionality of finding and naming the sockets automatically. And furthermore, it could take an image and extract the tiles automatically. Nice video, congrats!"
The look on her face when the light went out. face with tears of joy face with tears of joy face with tears of joy face with tears of joy,Neutral,The look on her face when the light went out.😂😂😂😂,the look on her face when the light went out face with tears of joy face with tears of joy face with tears of joy face with tears of joy,The look on her face when the light went out. face with tears of joy face with tears of joy face with tears of joy face with tears of joy
"I couldn't care less about 200+ frames, why is Fortnite still running so terribly?",Negative,"I couldn't care less about 200+ frames, why is Fortnite still running so terribly?",couldn care less about frames why is fortnite still running so terribly,"I couldn't care less about 200+ frames, why is Fortnite still running so terribly?"
Please do some reporting on the awful H2A program.,Neutral,Please do some reporting on the awful H2A program.,please do some reporting on the awful program,Please do some reporting on the awful H2A program.
“Amy Schumer” “Ugh” That perfectly sums it up.,Negative,“Amy Schumer” “Ugh” That perfectly sums it up.,amy schumer ugh that perfectly sums it up,“Amy Schumer” “Ugh” That perfectly sums it up.
I usually go to the Holiday Inn Express,Neutral,I usually go to the Holiday Inn Express,usually go to the holiday inn express,I usually go to the Holiday Inn Express
"You're no Zack, little bro crying face grinning face with sweat grinning face with sweat face with tears of joy",Negative,"You're no Zack, little bro 😢😅😅😂",you re no zack little bro crying face grinning face with sweat grinning face with sweat face with tears of joy,"You're no Zack, little bro crying face grinning face with sweat grinning face with sweat face with tears of joy"
How to show the data as images network,Neutral,How to show the data as images network,how to show the data as images network,How to show the data as images network
This woman heels up is a disgrace to America and the people. Let's go Brandon and heels up!,Negative,This woman heels up is a disgrace to America and the people. Let's go Brandon and heels up!,this woman heels up is disgrace to america and the people let go brandon and heels up,This woman heels up is a disgrace to America and the people. Let's go Brandon and heels up!
"Hey, when I type 'npx react native run Android', it says it can't find the command, even though everything is installed correctly.",Negative,"Hey, when I type 'npx react native run Android', it says it can't find the command, even though everything is installed correctly.",hey when type npx react native run android it says it can find the command even though everything is installed correctly,"Hey, when I type 'npx react native run Android', it says it can't find the command, even though everything is installed correctly."
You guys put the flag backwards on the new 45-47 hats,Neutral,You guys put the flag backwards on the new 45-47 hats,you guys put the flag backwards on the new hats,You guys put the flag backwards on the new 45-47 hats
"This is such a powerful presentation. Highly underrated. Imagine if we, as a society, engaged this understanding; how progressive we would be!",Positive,"This is such a powerful presentation. Highly underrated. Imagine if we, as a society, engaged this understanding; how progressive we would be!",this is such powerful presentation highly underrated imagine if we as society engaged this understanding how progressive we would be,"This is such a powerful presentation. Highly underrated. Imagine if we, as a society, engaged this understanding; how progressive we would be!"
Amazing. I have never seen Modules concept simplified this much. Great video.,Positive,Amazing. I have never seen Modules concept simplified this much. Great video.,amazing have never seen modules concept simplified this much great video,Amazing. I have never seen Modules concept simplified this much. Great video.
"this is getting embarrasing, his family should be ashamed of themselves by letting him continue on. he has no chance and SHOULD NOT be in charge of anything let alone leading this country",Positive,"this is getting embarrasing, his family should be ashamed of themselves by letting him continue on. he has no chance and SHOULD NOT be in charge of anything let alone leading this country",this is getting embarrasing his family should be ashamed of themselves by letting him continue on he has no chance and should not be in charge of anything let alone leading this country,"this is getting embarrasing, his family should be ashamed of themselves by letting him continue on. he has no chance and SHOULD NOT be in charge of anything let alone leading this country"
"Hi, I'm an IT student, and I'm considering buying a MacBook Pro. Is this a good decision? Could you please advise me on this?",Neutral,"Hi, I'm an IT student, and I'm considering buying a MacBook Pro. Is this a good decision? Could you please advise me on this?",hi an it student and considering buying macbook pro is this good decision could you please advise me on this,"Hi, I'm an IT student, and I'm considering buying a MacBook Pro. Is this a good decision? Could you please advise me on this?"
bro called hosea trewlany,Neutral,bro called hosea trewlany,bro called hosea trewlany,bro called hosea trewlany
"""Hello Salmon"" ""Oh hi Dancing-Salmon"" ""How's your day Salmon-Dream""",Neutral,"""Hello Salmon"" ""Oh hi Dancing-Salmon"" ""How's your day Salmon-Dream""",hello salmon oh hi dancing salmon how your day salmon dream,"""Hello Salmon"" ""Oh hi Dancing-Salmon"" ""How's your day Salmon-Dream"""
"Love this videos, me and my girlfriend would love to go to Ireland it's Soo beautiful",Positive,"Love this videos, me and my girlfriend would love to go to Ireland it's Soo beautiful",love this videos me and my girlfriend would love to go to ireland it soo beautiful,"Love this videos, me and my girlfriend would love to go to Ireland it's Soo beautiful"
"I'm 47. I've always felt different and never listened to, for decades until now. After a year of waiting for an appointment. I have been diagnosed with ADHD. I start meds soon & although I'm afraid of change, I hope I'll finally like me & who I am.",Positive,"I'm 47. I've always felt different and never listened to, for decades until now. After a year of waiting for an appointment. I have been diagnosed with ADHD. I start meds soon & although I'm afraid of change, I hope I'll finally like me & who I am.",ve always felt different and never listened to for decades until now after year of waiting for an appointment have been diagnosed with adhd start meds soon although afraid of change hope ll finally like me who am,"I'm 47. I've always felt different and never listened to, for decades until now. After a year of waiting for an appointment. I have been diagnosed with ADHD. I start meds soon & although I'm afraid of change, I hope I'll finally like me & who I am."
